formal_name,formal_count,nickname_count,nickname_count_sum,group_total_count,nickname_to_formal_ratio,top_nickname,top_nickname_count,nicknames_joined
Sonia,61611,224,432130,493741,7.013844930288423,Sonya,61156,Sonya; Shawna; Sienna; Shawn; Shana; Shanna; Shauna; Sheena; Shania; Shayna; Shaina; Siena; Sunny; Shyanne; Saniyah; Saniya; Shaniya; Sanaa; Sammie; Shyann; Samiyah; Sanai; Sana; Samiya; Shani; Shaniyah; Shianne; Shanae; Samaya; Sahana; Shanaya; Samya; Samia; Shawnee; San; Shamya; Shane; Shonna; Sima; Sinai; Shanya; Sumaya; Shaunna; Shaun; Sanaya; Shawnna; Sean; Sania; Shaniah; Shawana; Shena; Sama; Saniah; Siani; Sianna; Shiann; Shayne; Shanay; Shona; Sunnie; Shanee; Sunni; Sanya; Shawanna; Samiah; Sueann; Seanna; Sneha; Shyanna; Shamiya; Somaya; Seana; Shenna; Suhani; Shamia; Sheyenne; Seema; Suanne; Siham; Sena; Siana; Sammi; Senna; Sona; Shanea; Simi; Sammye; Suhana; Sumayyah; Sianni; Seena; Sumie; Sammy; Snow; Sun; Sumaiya; Sam; Samyah; Samiha; Shamaya; Shamiyah; Shawne; Shyan; Shannah; Saima; Sonny; Shianna; Sumayah; Swannie; Shan; Samayah; Sheyanne; Syniah; Siyona; Sami; Sheina; Sumayya; Synia; Shanyah; Sheana; Sian; Saina; Siona; Shaianne; Samaiya; Sanaii; Shian; Shanyia; Sanyah; Shamiah; Sina; Sani; Shawnie; Sanoe; Sanah; Soon; Sanaiya; Shiane; Sumeya; Sameeha; Shaiann; Shyenne; Snoh; Sayani; Shaima; Sumiye; Seoni; Synai; Shaunya; Shaena; Sonnie; Samah; Shauni; Sanayah; Shawan; Sinahi; Soumya; Syann; Saniyyah; Shanie; Shenae; Suann; Sueanne; Sanna; Shenee; Samyia; Shaney; Sueno; Sahian; Simy; Smaya; Sonna; Sumaiyah; Sumi; Syanne; Samiyyah; Sanae; Saumya; Shahina; Sham; Shama; Shamea; Shanai; Shayma; Shine; Shonnie; Sonni; Sanii; Samai; Sheni; Sennie; Shaheen; Shayanne; Shiana; Shina; Shouana; Sieanna; Sihaam; Sanaia; Saniyya; Sanyia; Sayana; Sema; Semiyah; Senia; Seniyah; Shamyah; Shamyia; Shanah; Shany; Shaune; Shenny; Sheny; Sheyna; Shima; Siahna; Siennah; Simmie; Somya; Son; Soumaya; Soyini; Sunya; Syanna
Joan,476439,202,2880473,3356912,6.04583797715972,Jean,446258,Jean; Jane; Jamie; Joanne; June; Jeanne; Joann; Jenna; Joanna; Jennie; Jenny; Janie; Jan; Jaime; Johanna; Johnnie; Jana; Jeannie; Joni; Jayne; Jimmie; Jami; John; Janae; Juana; Jeanie; Janiyah; Janna; Jannie; Jayme; Janiya; Jena; Jaimie; Jemma; Johnna; Joana; Jeanna; Johana; Jamya; Jeana; Janay; Johnie; Janiah; Jianna; Jamiyah; Jenni; Jamia; Jonnie; Jamiya; Joanie; Jayna; Janaya; Jaimee; Jonna; Jammie; Jania; Janya; Juan; Jennah; Jeane; Janai; Janee; Jamiah; Johnny; Janey; Jamaya; Jenae; Jannah; Jaymie; Jhene; Jann; Jeni; Jamey; Jaymee; Juno; Jaina; Janney; Jamee; Jenee; Jama; Janea; Johannah; Jimmy; Jiana; Janyah; Jina; Jamyah; Johna; Jayanna; Jayana; Jeimy; Johnnye; Jayonna; Johanne; Jene; Jaimi; Junie; Junia; Janyia; Jhoana; Jamyia; Joannie; Jahniya; Jaiyana; Jani; Jonae; Jenay; Janaye; Jona; Jaymi; Juna; Jonie; Jenea; Janayah; Jihan; Jenaya; Jon; Janaiya; Johnae; Joane; Jeniah; Janny; Jimmye; Jamye; Jayani; Juni; Jeniyah; Johann; Jenai; Jim; Jonni; Johanny; Jonah; Jaionna; Jhoanna; Jaynie; Jahnya; Jhane; Jinny; Joyanna; Jenne; Jennae; Janyiah; Joeann; Jahniyah; Jahnae; Jamy; Jaynee; Jin; Jahnay; Jahnia; Jaimy; Jenaiah; Jianni; Jnaya; Jamyiah; Jeniya; Jenney; Jinnie; Johnye; Jahmya; Jaiana; Jamea; Jayona; Jeani; Jeanny; Jenie; Jeny; Jahna; Jawanna; Jniya; Jniyah; Joani; Joyanne; Jehan; Jone; Jamayah; Jaanai; Jahnyah; Jaianna; Jaima; Jammi; Janaia; Janeah; Janiaya; Jany; Jawana; Jayma; Jaynae; Jeanae; Jeanni; Jeena; Jema; Jenah; Jenia; Jimi; Jinna; Jiyana; Jnya; Joanny; Jonee; Juany
Lynn,178246,167,631912,810158,3.5451679140064853,Lena,107462,Lena; Leona; Luna; Lynne; Lana; Leanne; Lainey; Leann; Leanna; Liana; Luann; Lina; Laney; Leeann; Luanne; Linnea; Lona; Lyn; Lianna; Leena; Linnie; Lani; Lonnie; Leone; Louann; Lanie; Laniyah; Lyanna; Layne; Layan; Laniya; Luana; Leana; Liane; Loni; Lennie; Laine; Lane; Layna; Leeanna; Lianne; Lawana; Laina; Leeanne; Lamya; Lonna; Leyna; Liyana; Laynie; Leen; Leni; Lawanna; Lenna; Linh; Lahoma; Laynee; Lanae; Leonie; Loma; Louanne; Launa; Lian; Lonie; Lainie; Leiana; Lainee; Lan; Liani; Layana; Leonia; Lynna; Lyana; Lanaya; Lyanne; Lanya; Lumi; Lamiyah; Lanna; Lamia; Leeana; Lannie; Loan; Luanna; Lania; Laniah; Lien; Leoma; Lyna; Leianna; Lin; Lianny; Leina; Lowen; Lynnea; Lenny; Lynnae; Lynae; Lunna; Leonna; Linn; Lamiya; Louanna; Lamaya; Lanah; Leanny; Lanai; Layni; Leiani; Lanee; Layanna; Lenni; Layani; Leane; Linna; Leon; Lyann; Louna; Lun; Liam; Linnae; Loann; Layonna; Lenae; Lenee; Lyanni; Lean; Lanea; Lahna; Laiana; Lama; Lamiah; Lanyah; Lianni; Liany; Luan; Luma; Leoni; Laena; Lawan; Lowana; Laini; Lany; Leaann; Lema; Liahna; Liann; Liannah; Loana; Loney; Luwana; Lyniah; Lanay; Lanyia; Lanyiah; Leahna; Leanah; Leani; Lemmie; Lenya; Leyanna; Llana; Lloana; Lonia; Lunah; Lynea; Lynee; Lynnie
Renee,182172,161,256758,438930,1.4094262565048417,Rena,28480,Rena; Ryan; Rowan; Remi; Rene; Reyna; Reina; Renae; Rayna; Raina; Ryann; Remy; Rayne; Rihanna; Rowena; Ronnie; Rhianna; Roma; Reanna; Rona; Rina; Ronna; Reem; Rianna; Roni; Rana; Rowyn; Renea; Rain; Rania; Rhyan; Romy; Raine; Rian; Rowen; Raniyah; Ronni; Raeann; Ryanne; Riana; Reena; Romi; Raniya; Ranae; Rayanna; Rahma; Rawan; Rhona; Rainey; Rheanna; Reema; Rumi; Renay; Rayan; Rima; Raeanna; Raeanne; Ramiyah; Ramya; Ryanna; Rayann; Rooney; Rani; Rhema; Ranee; Rhiana; Rayana; Ren; Raena; Rayanne; Romee; Rihana; Ranya; Rayonna; Riyan; Runa; Reana; Reanne; Rianne; Ryen; Rayma; Rhian; Reyanna; Riona; Ryane; Rome; Rama; Remmi; Reham; Rin; Reniyah; Riane; Romie; Rainy; Rema; Rowynn; Ruhani; Riann; Raniah; Rainie; Remie; Rinoa; Ryhanna; Renna; Reann; Reyyan; Ramiya; Riyana; Rayn; Reniya; Ramie; Remmy; Ronne; Rayaan; Renn; Rehanna; Rheana; Ronny; Ryn; Renne; Roniyah; Raima; Rainee; Renie; Roena; Rahima; Raini; Rayyan; Rennie; Rhyanna; Roniya; Rynn; Reonna; Raaina; Raeana; Rhina; Riannah; Ronee; Ryana; Rayhona; Raynah; Raynie; Rayona; Rehana; Rehema; Rehma; Reine; Remmie; Reyne; Rhaena; Rhemi; Rhonna; Rhyann; Riham; Rion; Roanna; Roanne; Rohini; Ronnah; Ronya; Ryenn
Tammy,329631,150,859777,1189408,2.6083014036907937,Tina,287042,Tina; Tonya; Tanya; Toni; Tami; Tammie; Tiana; Tania; Tonia; Tommie; Tammi; Tamia; Tianna; Tana; Tawana; Taniya; Tena; Teena; Taniyah; Tawnya; Tawanna; Tawny; Tamya; Tyanna; Tamie; Taina; Tyana; Tionna; Twana; Tennie; Thania; Tamiya; Tommy; Tanaya; Tawni; Tommye; Tony; Tonie; Teanna; Tanna; Tamiyah; Tiny; Twanna; Tomi; Tenaya; Taunya; Tehani; Tammye; Teyana; Tamaya; Tama; Taniah; Tyonna; Timia; Tionne; Thanh; Tahnee; Tawnie; Towana; Tiani; Tani; Tam; Tiona; Tiyana; Tona; Tammey; Tahani; Towanna; Tamiah; Tawna; Tommi; Tawnee; Tawnia; Timi; Tomie; Tien; Tayna; Tinnie; Tannia; Tawney; Teonna; Thanya; Tiyanna; Tamu; Tene; Tomoe; Tamy; Teyanna; Tenna; Teona; Timya; Tywana; Tiwana; Tywanna; Tayanna; Tuyen; Tayana; Tanea; Tannya; Tanae; Tanyia; Tonnie; Teana; Tonyia; Tiwanna; Tauna; Tiahna; Taimi; Tamyah; Tanyah; Tiauna; Tonna; Tayonna; Tiannah; Tihani; Toini; Tyne; Tunya; Tyna; Tanay; Tenia; Tianah; Timmie; Tom; Tynia; Tuwana; Temmy; Tianne; Temi; Thena; Thien; Tamae; Tammee; Taneya; Tanyiah; Tauni; Tayona; Tema; Tenea; Teyona; Theone; Thiana; Thuan; Tianni; Timaya; Tinna; Tionni; Tiyonna; Tniya; Tymia
Kelly,471706,147,1162572,1634278,2.464611431696862,Kayla,343768,Kayla; Kaylee; Kylie; Kelli; Kylee; Kellie; Khloe; Kelley; Kyla; Kali; Kailey; Kaylie; Kiley; Kaila; Kaley; Kailee; Kaliyah; Kallie; Keely; Keyla; Kayley; Kyle; Kala; Kayli; Keila; Kaylah; Kaela; Kylah; Keily; Keeley; Kalia; Kalie; Kaleah; Kalea; Kalli; Kayle; Keli; Khalia; Kalee; Kloe; Kaeli; Kellee; Kaylea; Kaily; Kaliah; Kaili; Kellye; Kailah; Kaylei; Kelle; Keyli; Khloee; Kalei; Kloey; Kyli; Khaliyah; Kalayah; Khali; Keilah; Kalaya; Keylee; Kilee; Kaleia; Kaely; Kailea; Khylee; Kylei; Kylea; Kyley; Khloie; Kailie; Kloie; Keala; Kahlia; Keilly; Kalley; Keelie; Khole; Khloey; Kaliya; Khylie; Kiely; Khyla; Keeli; Kaelee; Khaliah; Kaeley; Kahla; Khayla; Kyliee; Kally; Kaile; Kelia; Kloee; Kuulei; Kalah; Kaelah; Khaila; Kylia; Keili; Kayly; Kiele; Klee; Kela; Kaelie; Kailei; Kleo; Kaileah; Kaylia; Kallee; Kyleah; Keilee; Klea; Keyly; Keela; Kila; Keylie; Kaleyah; Kaly; Khloi; Khaliya; Kaaliyah; Keiley; Keyhla; Khalea; Kayleah; Kiela; Kaula; Khaleah; Kaelly; Kailia; Kalle; Kayal; Khalaya; Kahli; Kaileia; Kaleiah; Kaleya; Kaola; Kayelee; Kelaia; Kelee; Kely; Khala; Khyli; Kla; Kulia
Maggie,94729,146,148004,242733,1.5623937759292297,Macy,29586,Macy; Macie; Maci; Micah; Macey; Maisie; Mazie; Mika; Missy; Mickey; Makiyah; Meg; Maisy; Myesha; Maxie; Makiya; Misha; Maycee; Miesha; Maizie; Mickie; Myka; Myasia; Makiah; Moesha; Mecca; Maisha; Myisha; Micki; Maja; Mica; Macee; Mischa; Miyoko; Maizy; Mossie; Miki; Mikah; Megha; Mykah; Maycie; Micaiah; Myeisha; Messiah; Misao; Makya; Makhia; Mikki; Myeshia; Mazzy; Misk; Mihika; Mayzie; Mesha; Max; Mahsa; Maija; Mc; Makia; Mahika; Maisey; Masae; Misa; Moxie; Mykia; Masa; Makaya; Mieko; Maysa; Mahek; Meisha; Mysha; Myiesha; Mehak; Michie; Masayo; Mycah; Micha; Miyeko; Maizey; Meosha; Miasia; Mikia; Miko; Miyuki; Mike; Masha; Maiza; Maika; Mackie; Mayci; Miyako; Maizee; Makyah; Meggie; Mesa; Michi; Maze; Makaiya; Missie; Moksha; Mikiyah; Masue; Masiyah; Meka; Maziyah; Micky; Mikaya; Masaye; Maggy; Miku; Misae; Maggi; Mayukha; Mazi; Meika; Miski; Miyoshi; Muska; Maisee; Mckay; Misayo; Maize; Makaia; Makaiah; Maki; Makkah; Makyia; Masiya; Maxi; Mazzie; Meeka; Meesha; Mehek; Meoshia; Michiah; Michiye; Mieshia; Mija; Mikea; Mikiya; Missi; Misue; Miyisha; Moeshia; Myshia
Sarah,1045804,140,1068038,2113842,1.0212601978955904,Sara,423492,Sara; Sherry; Sierra; Sherri; Sheri; Shari; Sherrie; Sarai; Sawyer; Sheree; Sariah; Sarahi; Sariyah; Soraya; Shreya; Shira; Sahara; Suri; Sherie; Saira; Shara; Sharee; Saray; Sari; Sury; Sahar; Shriya; Siera; Siara; Sayra; Sariya; Sora; Siri; Sayuri; Sherree; Sarahy; Swara; Saraya; Shera; Sera; Sharie; Saori; Sharae; Sierrah; Sharri; Sarrah; Sarayu; Sahra; Sherrye; Sriya; Sayori; Suraya; Sharayah; Serayah; Syriah; Sura; Surah; Shariah; Surie; Saria; Shreeya; Serah; Seirra; Sarayah; Siarra; Syria; Sharay; Sahira; Sharai; Saryah; Sherre; Shiree; Shree; Seriah; Serra; Siria; Soriah; Syra; Shaira; Sharrie; Sarra; Sherra; Seriyah; Sharry; Sheria; Shyra; Sharaya; Shariyah; Seaira; Seraiah; Saraiyah; Surya; Shariya; Saraih; Suraiya; Scherry; Seher; Sorayah; Sreya; Suriya; Sharra; Sierah; Soriya; Sarha; Sery; Shir; Saara; Saory; Saraiah; Saroya; Sharia; Sherria; Shirah; Siarah; Suriah; Sorah; Sehar; Shaheerah; Sierria; Suriyah; Syrah; Syrai; Saarah; Sahari; Saher; Sahori; Sairy; Sarae; Saraiya; Sayyora; Scherrie; Sereia; Seri; Sharah; Sharoya; Shayra; Sherah; Shiori; Shiri; Skyrah
Donna,827154,140,1876653,2703807,2.2688072595913216,Diane,515284,Diane; Diana; Dawn; Dana; Deanna; Dianne; Dianna; Dina; Dena; Danna; Deana; Dayana; Dona; Demi; Deanne; Dayna; Diann; Deena; Dionne; Deann; Dania; Dani; Dinah; Danae; Donnie; Dawna; Dian; Dayanna; Dionna; Deonna; Danya; Deeann; Dawne; Dione; Daniyah; Daniya; Dayami; Dean; Donya; Damya; Denae; Dyan; Daina; Danni; Dyana; Denna; Damiyah; Dannie; Daiana; Dyanna; Dann; Dyani; Deeanna; Deon; Dwan; Denia; Danny; Dayani; Damiya; Diona; Dwana; Dayonna; Dannia; Dewanna; Damia; Daena; Demya; Dion; Diahann; Denee; Diem; Dunya; Danay; Dyann; Danaya; Dyanne; Donia; Deona; Dunia; Danne; Daun; Deniya; Doni; Demiyah; Daniah; Dahiana; Deema; Danah; Deniyah; Denay; Dim; Danee; Dene; Dayan; Deane; Deeanne; Damaya; Deanie; Dhana; Dannah; Don; Donie; Dianey; Damyah; Dany; Dawana; Deeana; Duane; Dwanna; Dhwani; Dannae; Dawanna; Dayanne; Diannia; Diannie; Dniyah; Donnia; Duyen; Dayamy; Danai; Daana; Diania; Diny; Dannya; Dayona; Dewana; Dhanya; Damiah; Dan; Dawnn; Dema; Demia; Demiya; Dennie; Denny; Deonne; Deyna; Dima; Dmya; Dyane
Alice,506160,139,957560,1463720,1.891812865497076,Alyssa,312585,Alyssa; Alicia; Alexa; Alisha; Alexia; Alissa; Alisa; Alyce; Aliza; Alecia; Alessia; Alysha; Alycia; Alex; Alysia; Alesha; Alyse; Allyssa; Alysa; Alesia; Alaysia; Alize; Aleigha; Alyssia; Alexi; Alessa; Alisia; Alix; Allysa; Aleshia; Alise; Alishia; Alease; Aleisha; Alyza; Alizae; Allissa; Alaysha; Aleeza; Alasia; Alizay; Alizah; Alexie; Aleesha; Alexcia; Alysse; Alijah; Alessi; Aleyza; Alaska; Alexxa; Alizee; Alyshia; Alyssah; Alyx; Alexsa; Alazae; Allisa; Alazay; Alayjah; Alicja; Ailish; Alicea; Alajah; Alexah; Alica; Alyzah; Alexiah; Alexya; Alayza; Allyse; Aleysha; Aleasha; Allisha; Alaiza; Aleesa; Aleyssa; Aleksa; Alaijah; Alyzza; Alexza; Alissia; Alka; Alis; Alleigh; Alaisha; Aliz; Alayshia; Alizeh; Alexy; Allyce; Allysha; Alyissa; Alayja; Aleecia; Alys; Alizea; Alacia; Aleece; Alexsia; Aliesha; Alika; Alayssa; Alyzae; Alec; Alesa; Aleigh; Allysia; Alyze; Alaycia; Alyzea; Aleiza; Alique; Alexx; Alizey; Alcie; Alekhya; Aleska; Alezay; Alysah; Alese; Alexxia; Alisi; Ailis; Alaija; Alayzia; Aleja; Alejah; Aleksia; Alexssa; Aleysa; Algia; Alicha; Alik; Alizaya; Allexa; Allycia; Alyss; Aylssa
