formal_name,formal_count,nickname_count,nickname_count_sum,group_total_count,nickname_to_formal_ratio,top_nickname,top_nickname_count,nicknames_joined
Mike,198780,103,426112,624892,2.143636180702284,Max,159175,Max; Micah; Mack; Messiah; Mickey; Moshe; Mekhi; Makai; Mac; Musa; Mose; Makhi; Mccoy; Maxie; Maxx; Mikah; Mckay; Micaiah; Moishe; Masao; Makoa; Massiah; Mazi; Maceo; Makaio; Mehki; Moussa; Masiah; Micky; Mikey; Mick; Mecca; Mykah; Mahki; Moise; Masai; Miko; Mikko; Mace; Makhai; Mika; Maaz; Mikai; Mosiah; Moishy; Moksh; Mycah; Maika; Misha; Mekhai; Muaz; Mako; Mahzi; Mica; Micha; Mackie; Mesiah; Maciah; Mckoy; Mahkai; Mousa; Michio; Moosa; Makiah; Machi; Mackey; Maggie; Maki; Mekai; Macy; Masuo; Mackay; Massie; Maze; Mikio; Mosha; Machai; Maks; Makye; Mase; Mayes; Mays; Mazzi; Mechy; Messi; Mickie; Mischa; Meeko; Masih; Maxi; Maasai; Mahesh; Makay; Makeo; Makua; Mas; Mega; Micco; Mikie; Mj; Moisha; Moss; Myka
Joshua,1240648,101,2455351,3695999,1.9790875413493594,Jack,730893,Jack; Jose; Jesse; Josiah; Jake; Jessie; Jace; Jackie; Josue; Jayce; Jax; Jase; Jess; Josh; Jasiah; Joziah; Jacky; Jesiah; Jakai; Jessy; Jaxx; Jeshua; Jessiah; Joshuah; Jayse; Joyce; Jashua; Jahseh; Jaziah; Jasai; Jessi; Jahsiah; Jaycee; Jacque; Joshue; Jakhi; Jossue; Jessee; Jahkai; Jeziah; Josiyah; Joesiah; Jaice; Jock; Jazz; Jessey; Josua; Jhase; Josaiah; Jese; Josyah; Jousha; Josey; Joss; Jayko; Jackey; Jakhai; Jaquay; Josha; Jusiah; Jahki; Jassiah; Jayco; Jayke; Joash; Jesu; Joeziah; Jossiah; Jachai; Jacey; Jacy; Jasiyah; Jesaiah; Jahsai; Jaysiah; Joas; Josie; Jahziah; Jaquae; Jex; Jhayco; Jos; Joseh; Joshawa; Jacai; Jaise; Jaja; Jak; Jakie; Jakye; Jasyah; Jayjay; Jaze; Jesua; Jhace; Jocqui; Johsua; Joshwa; Josje; Josuha; Jushua
John,4919267,95,1789436,6708703,0.3637606984943082,Juan,358418,Juan; Johnny; Jimmy; Jon; Jim; Jimmie; Johnnie; Jamie; Jonah; Jaime; Jean; Jan; Johnie; Johan; Joan; Jamey; Jaheim; Juwan; Johann; Jayme; Jame; Jonnie; Johny; June; Jahiem; Jionni; Jonny; Jhon; Jammie; Jhonny; Jaheem; Jun; Jin; Jawan; Jayon; Jimi; Johney; Jaimie; Jhoan; Jian; Jawaun; Jahan; Jawon; Joahan; Jawuan; Joanna; Jomo; Jaun; Jkwon; Juno; Jquan; Jane; Jianni; Johnney; Joon; Jahaan; Jami; Jayan; Jenna; Jona; Jenny; Jimmey; Joni; Jamy; Juwon; Jceon; Janie; Joanne; Juana; Json; Jawaan; Jiyan; Jawann; Jen; Jhan; Jiyaan; Jayen; Jaion; Janoah; Johanna; Jony; Jahani; Janae; Janee; Jhony; Junie; Jahn; Jammy; Jayin; Joann; Johnnye; Jonh; Jsean; Jshaun; Jshawn
Ryan,959100,95,403190,1362290,0.42038369304556356,Ronnie,179730,Ronnie; Rene; Rowan; Ron; Romeo; Ronny; Rohan; Remy; Rayan; Raheem; Rowen; Rome; Rian; Ryne; Remi; Rayyan; Rami; Riaan; Roan; Ren; Reno; Rony; Rehan; Rahim; Renee; Riyan; Rayaan; Reino; Ryon; Reyan; Rain; Rihaan; Remmy; Romie; Rumi; Rayhan; Roen; Rhyan; Ramy; Riyaan; Ryen; Rion; Ram; Ronney; Remo; Raheen; Reyn; Reyaan; Raheim; Rahiem; Rayne; Roni; Ruhaan; Rohaan; Rowyn; Rooney; Rune; Rehaan; Rommie; Raiyan; Rihan; Rainn; Rahn; Ronn; Raihan; Rohin; Ryann; Rennie; Ruhan; Rayn; Rayon; Ryaan; Raymie; Renne; Roney; Rahm; Renny; Rawn; Rama; Ramey; Rayane; Romney; Raahim; Raam; Raine; Rana; Rani; Rannie; Reon; Reyhan; Rhone; Roam; Rohn; Roma; Rowin
Kenny,47387,94,137885,185272,2.9097642813429845,Kim,32087,Kim; Ken; Kane; Kian; Keon; Keanu; Kohen; Keyon; Koen; Kyan; Kiaan; Keoni; Kwame; Kainoa; Kain; Kaine; Keion; Kiyan; Kenai; Kenya; Kanye; Kayne; Kanoa; Kimo; Kenney; Kion; Kaan; Keane; Kauan; Kimi; Keone; Kam; Keyan; Khanh; Kamau; Kyon; Kiyaan; Kawan; Kona; Kanai; Kean; Kani; Kiyon; Kaheem; Kamahao; Kien; Kayan; Kem; Kennie; Kunio; Kamaehu; Kewon; Kaena; Kayhan; Kenna; Kaiyan; Kawena; Kowen; Kainoah; Keona; Kewan; Knoah; Kayin; Keano; Keno; Kshawn; Kwan; Kaimi; Kiwane; Koehn; Koon; Kenay; Kiana; Keena; Kenia; Kym; Kahaan; Kahne; Kaian; Kaihan; Kano; Kayon; Keino; Kenn; Keny; Keyaan; Khan; Kimmie; Kin; Kiyomi; Kowan; Kwane; Kyeem; Kyian
Keegan,36344,80,81414,117758,2.2400946511116,Kason,12934,Kason; Kayson; Kasen; Kyson; Keagan; Kaison; Kaysen; Keshawn; Keyshawn; Kegan; Kaizen; Kaisen; Keshaun; Kaycen; Kacen; Kysen; Kejuan; Kaseem; Kasyn; Khyson; Kishan; Kesean; Kashawn; Keshon; Kaisyn; Kaeson; Keshun; Kyzen; Kyjuan; Keagen; Keishawn; Kasim; Keyshaun; Keigan; Kassem; Kayshawn; Kazumi; Kijana; Kasheem; Kassian; Kayceon; Kajuan; Kagan; Kagen; Kaegan; Kaysin; Kycen; Kashaun; Kassim; Kaizyn; Kyseem; Kaesyn; Kayzen; Keygan; Kaicen; Kaiyzen; Kasean; Keyshon; Khysen; Keagon; Khaseem; Kijuan; Keeshawn; Kaceyon; Kaikane; Kashon; Kaysan; Kyshawn; Kishawn; Kahseem; Kasheen; Kasiem; Kasin; Kaysean; Keaghan; Keegen; Keisean; Kesan; Keyshone; Keyshun
Jason,1046764,77,567633,1614397,0.5422740942562029,Jackson,285326,Jackson; Jaxon; Jaxson; Jayson; Joaquin; Jayceon; Jaquan; Jaxen; Jaxxon; Jasen; Jaysen; Jashawn; Jajuan; Jacen; Jayquan; Jaxsen; Jayshawn; Jaceon; Jaison; Juaquin; Jasson; Jaxyn; Jashaun; Jaycion; Jaiceon; Jaycen; Jaxsyn; Jakeem; Jaxin; Jaceyon; Joaquim; Jashon; Jasean; Jaceion; Jaquon; Jacion; Jaysean; Jakson; Jeyson; Jashan; Jacquan; Jahquan; Jayshaun; Jakwon; Joachim; Jayzen; Jayceion; Jujuan; Jaiquan; Jeison; Jashun; Jahkeem; Jaeson; Jasin; Jaxxson; Jazion; Jaeceon; Jasani; Jayshon; Jequan; Josian; Jacksen; Jahson; Jasn; Jassen; Joakim; Jocsan; Jaykon; Jaequan; Jacieon; Jaquawn; Jakim; Jaqwan; Jasaun; Jasun; Jishnu; Joshuan
Sean,421737,76,763690,1185427,1.8108204876498861,Shawn,304885,Shawn; Shane; Sam; Shaun; Sammy; Sammie; Sonny; Shayne; Sami; Shon; Sunny; Shaan; Shayan; Sione; Shyheim; Shan; Soham; Sim; Sohan; Shayaan; Son; Shaheem; Simmie; Sohum; Samy; San; Sina; Shun; Shain; Shyheem; Sion; Shyam; Shaheen; Shahin; Samay; Samie; Sonia; Shaine; Syon; Shaheim; Shyne; Shem; Sun; Shine; Shahan; Sonnie; Sunao; Shonn; Shimmy; Seann; Shayn; Sony; Shann; Shawon; Shyhiem; Siam; Sinai; Saam; Sani; Swan; Sayan; Seena; Senai; Shahem; Shaune; Shawnee; Shawnn; Shean; Shian; Shiheem; Shin; Shone; Siyuan; Soma; Summie; Swen
Dawson,47522,71,61742,109264,1.2992298303943437,Deshawn,13777,Deshawn; Deacon; Dashawn; Daquan; Deshaun; Dejuan; Dequan; Deegan; Desean; Dajuan; Dashaun; Dejon; Deshon; Dajon; Dijon; Daxon; Dashon; Dayshawn; Deshun; Dyson; Dasean; Dixon; Dujuan; Deagan; Dayquan; Daiquan; Daequan; Djuan; Diquan; Daquon; Daeshawn; Daijon; Daegan; Dagan; Dayson; Degan; Dasani; Daekwon; Daishawn; Dejohn; Dyquan; Dayshaun; Dasan; Dejan; Daejon; Dickson; Dushawn; Dason; Dashun; Dawsen; Deakon; Dquan; Daqwan; Dshawn; Duquan; Dajohn; Daquann; Dacian; Daeshaun; Dagmawi; Daguan; Dakeem; Daquane; Dashan; Dawsyn; Dejaun; Dequon; Deshone; Dezhon; Dishawn; Dishon
Ricky,220788,66,456197,676985,2.0662218961175425,Rick,78200,Rick; Ross; Rickey; Rex; Rocco; Royce; Rocky; Reece; Roscoe; Reese; Rickie; Rhys; Reggie; Rico; Reyes; Richie; Rishi; Russ; Rich; Riggs; Roque; Rigo; Raj; Ricki; Rock; Rush; Reza; Reco; Rosa; Rocio; Ric; Rose; Race; Rayce; Ricci; Ricco; Rosco; Riku; Rook; Rossie; Reis; Raja; Rockey; Riki; Rj; Rees; Rosie; Rece; Roc; Rakai; Rikki; Rockie; Richy; Rocko; Richey; Rogue; Ras; Rosio; Rushi; Rahzi; Rashee; Razi; Reg; Reice; Ricke; Rjay
