formal_name,formal_count,nickname_count,nickname_count_sum,group_total_count,nickname_to_formal_ratio,top_nickname,top_nickname_count,nicknames_joined
John,2467466,42,2296067,4763533,0.9305364288707524,Joan,240468,Joan; Jean; Jane; Juan; Jamie; Johnny; Jimmy; Joanne; June; Jon; Joann; Jenna; Jim; Johnnie; Jimmie; Jaime; Joanna; Jenny; Jonah; Jan; Janie; Johanna; Joni; Johnie; Jami; Janae; Juana; Jayme; Jaimie; Jamey; Jonnie; Johann; Jammie; Janee; Juno; Jin; Johnnye; Junie; Jimi; Jona; Jianni; Jamy
Ryan,491988,35,299294,791282,0.6083359756742034,Ronnie,91795,Ronnie; Renee; Rowan; Rene; Remi; Remy; Ronny; Ryann; Rowen; Rayan; Rayne; Rian; Roma; Rome; Rayyan; Roni; Rain; Rana; Rowyn; Rhyan; Raine; Ren; Rumi; Riyan; Rayaan; Romie; Rooney; Remmy; Ryen; Rani; Rion; Rama; Rayn; Rennie; Renne
Joshua,621830,29,1613572,2235402,2.594876413167586,Jack,365698,Jack; Jose; Joyce; Jesse; Jessie; Jackie; Josiah; Jake; Jace; Josie; Josue; Jayce; Jax; Jess; Jaycee; Jasiah; Jacey; Jessi; Jacky; Jesiah; Jessy; Jacque; Jessiah; Jacy; Josey; Jaziah; Jazz; Jasiyah; Jaquay
Mike,99410,29,239767,339177,2.4119002112463535,Max,79662,Max; Micah; Maggie; Macy; Mickey; Messiah; Maxie; Mika; Mikah; Misha; Mckay; Micaiah; Mickie; Mecca; Myka; Makiah; Mazi; Mica; Mykah; Mischa; Micky; Miko; Mycah; Maika; Micha; Mackie; Maze; Maki; Maxi
Sean,211354,26,433405,644759,2.0506117698269253,Shawn,167601,Shawn; Shane; Sam; Shaun; Sonia; Sammy; Sammie; Sonny; Sunny; Shayne; Sami; San; Shawnee; Sinai; Shan; Son; Sun; Seena; Simmie; Sina; Shaheen; Shian; Sani; Sonnie; Shine; Shaune
Lisa,482893,24,1114244,1597137,2.307434566249666,Louis,188282,Louis; Lois; Luke; Luis; Louise; Lucy; Lewis; Luca; Lacey; Lucia; Leigh; Luz; Luka; Lacy; Lexie; Lessie; Lucca; Loyce; Lux; Lucky; Lake; Laakea; Loise; Luxe
Donna,413754,24,1250235,1663989,3.0216867994025436,Diane,257746,Diane; Diana; Dawn; Danny; Dana; Dean; Don; Deanna; Duane; Dan; Donnie; Dion; Deon; Denny; Dionne; Dani; Dannie; Dennie; Dione; Dann; Deane; Dwan; Dany; Dayan
Liam,168082,23,312651,480733,1.8601099463357171,Lynn,112926,Lynn; Leon; Lonnie; Lynne; Lane; Layne; Lenny; Lyn; Linnie; Lian; Leone; Lennie; Laine; Linh; Lannie; Lonie; Luan; Lan; Linn; Lowen; Lemmie; Lean; Loney
Kim,104470,23,68101,172571,0.6518713506269742,Kenny,23702,Kenny; Kiana; Kenya; Kenna; Kenia; Keanu; Kohen; Keyon; Kainoa; Keona; Kiyomi; Kimi; Keena; Kym; Kimmie; Khanh; Kam; Kayan; Kona; Kawena; Kem; Kaena; Kahne
Rose,218214,22,382357,600571,1.7522111321913352,Ricky,110528,Ricky; Rosa; Ross; Rosie; Rickey; Reese; Royce; Rocky; Reece; Rickie; Rocio; Rhys; Reggie; Reyes; Rikki; Richie; Ricki; Rosio; Rossie; Ricci; Riki; Rogue
Julian,126554,22,154283,280837,1.219108048738088,Jillian,40718,Jillian; Juliana; Jaylen; Jalen; Jaylin; Jaelyn; Jayleen; Jaylon; Jaylynn; Jaylyn; Jalyn; Jaylan; Jailyn; Jalynn; Jelani; Jullian; Jalani; Jalin; Jaelin; Jaelen; Jahlani; Jaleen
Tammy,164930,21,631112,796042,3.8265445946765295,Tina,143554,Tina; Tony; Tommy; Tom; Tonya; Tanya; Toni; Tommie; Tiana; Tania; Timmie; Tonie; Thanh; Tam; Thien; Tomie; Tien; Tanay; Tuyen; Tonnie; Thuan
Kaylin,8578,21,33289,41867,3.88074143156913,Kellen,7354,Kellen; Kalani; Kellan; Kylan; Kaylen; Kalyn; Kylen; Kaylan; Kalen; Keelan; Kaelin; Kylin; Kallen; Kalin; Keylin; Kaylon; Kaelan; Kailen; Kailan; Keylen; Keelyn
