implementation_phase,run_kind,archived_run_kind,trial_id,status,error_type,error_message,requested_population,phase1_n_records_requested,records_to_people_ratio,seed,successfully_generated_population,truth_population_final,phase1_records_written,phase1_formal_copy_records_added,total_observed_records,total_households,total_addresses_housing_units,total_events_generated,generation_wall_seconds,phase1_generation_wall_seconds,phase2_generation_wall_seconds_excluding_validator,phase2_pipeline_wall_seconds_including_validator,records_generated_per_second,peak_process_rss_bytes,peak_process_rss_mb,final_artifact_size_bytes,final_artifact_size_mb,phase1_artifact_size_bytes,phase2_artifact_size_bytes,validator_runtime_seconds,all_output_contract_checks_passed,validator_issue_count,quality_status,unique_first_names_used,unique_last_names_used,unique_full_names,observed_unique_first_names,observed_unique_last_names,observed_unique_full_names,people_sharing_identical_full_name,people_sharing_identical_full_name_pct,records_per_person_mean,records_per_person_median,records_per_person_sd,phase1_records_per_person_mean,phase1_records_per_person_median,phase1_records_per_person_sd,duplicate_record_count,duplicate_record_rate_pct,source_overlap_people,source_union_people,source_overlap_rate_pct,selection_personkey_sha256,phase1_output_sha256,truth_checksum_sha256,output_checksum_sha256,canonical_phase1_config_sha256,canonical_scenario_sha256,trial_artifacts_path,artifacts_removed,worker_wall_seconds,started_at_utc,completed_at_utc
scaling_baseline,main,,n10000_seed20260829_main,success,,,10000,14000,1.4,20260829,10000,10000,16244,2244,19512,10000,10493,493,36.442697799764574,1.942868100013584,34.49982969975099,35.77167549985461,535.4159043660607,225468416,215.0234375,16660607,15.888792991638184,4050181,12604404,1.2718458001036197,True,0,ok,1369,2313,5027,1389,2350,5709,5802,58.02,1.9512,2.0,0.3197163743069785,1.6244,1.0,1.3295580619138074,289,1.481139811398114,9225,9998,92.26845369073816,a44a7331731184dcf7b5f8a3960d91c131dc4e7097655849c70d5b003f9c0d8e,d343652258335e2b2c250bc01ed27b54052d2163be5616fa2fe4a6c78048c0f2,5ec12c41dbd29e2791c945163a536ac2522e5f91a74035f1556f3932ec08eadc,dfb1324f8d6386a83ba55d448b24e36aca2910616e932960c35f4022c02e6ce3,2ab8648fa0a02dbeeedf8600871b38f97898761aba37845459b00ecf21afee87,047e824ca590e65a926b86f011551327e3533f625fbf91919e3a1859bd27572f,experiments/scaling_artifacts/n10000_seed20260829_main,True,39.045281199971214,2026-08-29T08:37:05+00:00,2026-08-29T08:37:44+00:00
scaling_baseline,main,,n10000_seed20260830_main,success,,,10000,14000,1.4,20260830,10000,10000,16279,2279,19523,10000,10514,514,36.92786110006273,1.9325530000496656,34.99530810001306,36.271738099865615,528.6794149029887,234823680,223.9453125,16594536,15.825782775878906,4045407,12543107,1.276429999852553,True,0,ok,1416,2286,5026,1459,2312,5725,5805,58.050000000000004,1.9523,2.0,0.31972599206195296,1.6279,1.0,1.327720448739116,289,1.4803052809506734,9236,9998,92.37847569513903,a44a7331731184dcf7b5f8a3960d91c131dc4e7097655849c70d5b003f9c0d8e,a198ca3ac07dc61942529bb7fab02210c56b3cc189e2a3babb029e38adb727fd,6eff9248cc0b90dc554c245405fb8206dc84436469eaca58d2393c219d716631,bd081d5ba51d61aa5cba6f120824a365b0f8ba9c3dc028e7e47aaf8af96e65c3,2ab8648fa0a02dbeeedf8600871b38f97898761aba37845459b00ecf21afee87,047e824ca590e65a926b86f011551327e3533f625fbf91919e3a1859bd27572f,experiments/scaling_artifacts/n10000_seed20260830_main,True,39.31480209995061,2026-08-29T08:37:44+00:00,2026-08-29T08:38:23+00:00
scaling_baseline,main,,n10000_seed20260831_main,success,,,10000,14000,1.4,20260831,10000,10000,16240,2240,19499,10000,10507,507,36.40945490030572,1.9248748000245541,34.484580100281164,35.749576500151306,535.5477046660282,226676736,216.17578125,16581060,15.812931060791016,4030491,12544547,1.2649963998701423,True,0,ok,1425,2276,5029,1457,2305,5693,5800,57.99999999999999,1.9499,2.0,0.32247478971231225,1.624,1.0,1.3212206477345105,289,1.4821272885789014,9213,9997,92.15764729418827,a44a7331731184dcf7b5f8a3960d91c131dc4e7097655849c70d5b003f9c0d8e,c2eff075a836d1d7883169527f926f369df02c4ef5b58d48f066c6597a4ff65c,7f76d025ca40ad904683393f84e1c63819c17464df659172c29890a96716d333,43cd1f14345ff8e8853cb5fc278dd154df9af4507365208a47a1854448360d7c,2ab8648fa0a02dbeeedf8600871b38f97898761aba37845459b00ecf21afee87,047e824ca590e65a926b86f011551327e3533f625fbf91919e3a1859bd27572f,experiments/scaling_artifacts/n10000_seed20260831_main,True,39.55150070018135,2026-08-29T08:38:23+00:00,2026-08-29T08:39:03+00:00
preoptimization_baseline,preoptimization,main,n10000_seed20260829_main_preoptimization,success,,,10000,14000,1.4,20260829,10000,10000,16244,2244,19512,10000,10493,493,100.40859890007414,2.3528648000210524,98.05573410005309,102.92681109998375,194.32598615800018,487845888,465.24609375,16660560,15.888748168945312,4050181,12604404,4.871076999930665,True,0,ok,1369,2313,5027,1389,2350,5709,5802,58.02,1.9512,2.0,0.3197163743069785,1.6244,1.0,1.3295580619138074,289,1.481139811398114,9225,9998,92.26845369073816,a44a7331731184dcf7b5f8a3960d91c131dc4e7097655849c70d5b003f9c0d8e,d343652258335e2b2c250bc01ed27b54052d2163be5616fa2fe4a6c78048c0f2,5ec12c41dbd29e2791c945163a536ac2522e5f91a74035f1556f3932ec08eadc,dfb1324f8d6386a83ba55d448b24e36aca2910616e932960c35f4022c02e6ce3,2ab8648fa0a02dbeeedf8600871b38f97898761aba37845459b00ecf21afee87,047e824ca590e65a926b86f011551327e3533f625fbf91919e3a1859bd27572f,experiments/scaling_artifacts/n10000_seed20260829_main,True,107.31926789996214,2026-08-29T08:18:15+00:00,2026-08-29T08:20:02+00:00
preoptimization_baseline,preoptimization,repro,n10000_seed20260829_repro_preoptimization,success,,,10000,14000,1.4,20260829,10000,10000,16244,2244,19512,10000,10493,493,94.6011781997513,2.02902609994635,92.57215209980495,97.6471096999012,206.2553593021878,491352064,468.58984375,16660593,15.888779640197754,4050183,12604428,5.074957600096241,True,0,ok,1369,2313,5027,1389,2350,5709,5802,58.02,1.9512,2.0,0.3197163743069785,1.6244,1.0,1.3295580619138074,289,1.481139811398114,9225,9998,92.26845369073816,a44a7331731184dcf7b5f8a3960d91c131dc4e7097655849c70d5b003f9c0d8e,d343652258335e2b2c250bc01ed27b54052d2163be5616fa2fe4a6c78048c0f2,5ec12c41dbd29e2791c945163a536ac2522e5f91a74035f1556f3932ec08eadc,dfb1324f8d6386a83ba55d448b24e36aca2910616e932960c35f4022c02e6ce3,2ab8648fa0a02dbeeedf8600871b38f97898761aba37845459b00ecf21afee87,047e824ca590e65a926b86f011551327e3533f625fbf91919e3a1859bd27572f,experiments/scaling_artifacts/n10000_seed20260829_repro,True,101.21009449986741,2026-08-29T08:23:24+00:00,2026-08-29T08:25:05+00:00
scaling_baseline,repro,,n10000_seed20260829_repro,success,,,10000,14000,1.4,20260829,10000,10000,16244,2244,19512,10000,10493,493,37.17112830025144,1.955350800184533,35.215777500066906,36.506514200009406,524.9235331892794,234278912,223.42578125,16660640,15.888824462890625,4050183,12604428,1.2907366999424994,True,0,ok,1369,2313,5027,1389,2350,5709,5802,58.02,1.9512,2.0,0.3197163743069785,1.6244,1.0,1.3295580619138074,289,1.481139811398114,9225,9998,92.26845369073816,a44a7331731184dcf7b5f8a3960d91c131dc4e7097655849c70d5b003f9c0d8e,d343652258335e2b2c250bc01ed27b54052d2163be5616fa2fe4a6c78048c0f2,5ec12c41dbd29e2791c945163a536ac2522e5f91a74035f1556f3932ec08eadc,dfb1324f8d6386a83ba55d448b24e36aca2910616e932960c35f4022c02e6ce3,2ab8648fa0a02dbeeedf8600871b38f97898761aba37845459b00ecf21afee87,047e824ca590e65a926b86f011551327e3533f625fbf91919e3a1859bd27572f,experiments/scaling_artifacts/n10000_seed20260829_repro,True,39.674422699958086,2026-08-29T08:39:03+00:00,2026-08-29T08:39:42+00:00
preoptimization_baseline,preoptimization,main,n10000_seed20260830_main_preoptimization,success,,,10000,14000,1.4,20260830,10000,10000,16279,2279,19523,10000,10514,514,95.56836729985662,1.96063830005005,93.60772899980657,97.9947402998805,204.2830755781813,487366656,464.7890625,16594489,15.825737953186035,4045407,12543107,4.387011300073937,True,0,ok,1416,2286,5026,1459,2312,5725,5805,58.050000000000004,1.9523,2.0,0.31972599206195296,1.6279,1.0,1.327720448739116,289,1.4803052809506734,9236,9998,92.37847569513903,a44a7331731184dcf7b5f8a3960d91c131dc4e7097655849c70d5b003f9c0d8e,a198ca3ac07dc61942529bb7fab02210c56b3cc189e2a3babb029e38adb727fd,6eff9248cc0b90dc554c245405fb8206dc84436469eaca58d2393c219d716631,bd081d5ba51d61aa5cba6f120824a365b0f8ba9c3dc028e7e47aaf8af96e65c3,2ab8648fa0a02dbeeedf8600871b38f97898761aba37845459b00ecf21afee87,047e824ca590e65a926b86f011551327e3533f625fbf91919e3a1859bd27572f,experiments/scaling_artifacts/n10000_seed20260830_main,True,101.43860449991189,2026-08-29T08:20:02+00:00,2026-08-29T08:21:43+00:00
preoptimization_baseline,preoptimization,main,n10000_seed20260831_main_preoptimization,success,,,10000,14000,1.4,20260831,10000,10000,16240,2240,19499,10000,10507,507,94.9609601998236,2.4286121998447925,92.53234799997881,96.98174580000341,205.33701385252232,485847040,463.33984375,16581013,15.812886238098145,4030491,12544547,4.449397800024599,True,0,ok,1425,2276,5029,1457,2305,5693,5800,57.99999999999999,1.9499,2.0,0.32247478971231225,1.624,1.0,1.3212206477345105,289,1.4821272885789014,9213,9997,92.15764729418827,a44a7331731184dcf7b5f8a3960d91c131dc4e7097655849c70d5b003f9c0d8e,c2eff075a836d1d7883169527f926f369df02c4ef5b58d48f066c6597a4ff65c,7f76d025ca40ad904683393f84e1c63819c17464df659172c29890a96716d333,43cd1f14345ff8e8853cb5fc278dd154df9af4507365208a47a1854448360d7c,2ab8648fa0a02dbeeedf8600871b38f97898761aba37845459b00ecf21afee87,047e824ca590e65a926b86f011551327e3533f625fbf91919e3a1859bd27572f,experiments/scaling_artifacts/n10000_seed20260831_main,True,100.68075819988735,2026-08-29T08:21:44+00:00,2026-08-29T08:23:24+00:00
scaling_baseline,main,,n50000_seed20260829_main,success,,,50000,70000,1.4,20260829,50000,50000,81226,11226,97531,50000,52468,2468,197.832079899963,19.711677599931136,178.12040230003186,184.43651550007053,492.99891124492115,686104576,654.3203125,82645830,78.81720542907715,20271260,62368548,6.3161132000386715,True,0,ok,2889,5279,25083,3055,5453,28462,29104,58.208000000000006,1.95062,2.0,0.321467907573991,1.62452,1.0,1.3268062291080789,1446,1.4826055305492614,46098,49987,92.21997719407045,dbb3856a300556660a672e3ea6983de5eeecc8ec360100c9e18cc9c5583e6079,8dcd8e9ba84b913bf98acd2fb9fd8c6d83cc4022a96c7b27422b339ada63bcf6,de2c6ec5d0573f9c4e0e0b22325f6ca92b0589cdcdb9759bd268b152f3aaef1c,50a82649c8dc8d2c6facd1d9c0c0d2e30c4eba0f1befd5dca864bd37ec629429,2ab8648fa0a02dbeeedf8600871b38f97898761aba37845459b00ecf21afee87,047e824ca590e65a926b86f011551327e3533f625fbf91919e3a1859bd27572f,experiments/scaling_artifacts/n50000_seed20260829_main,True,205.693945299834,2026-08-29T08:40:18+00:00,2026-08-29T08:43:44+00:00
scaling_baseline,main,,n50000_seed20260830_main,success,,,50000,70000,1.4,20260830,50000,50000,81492,11492,97572,50000,52514,2514,198.99227080028504,19.946939900051802,179.04533090023324,185.69136560009792,490.3306023273957,691638272,659.59765625,82725149,78.89284992218018,20334936,62384191,6.6460346998646855,True,0,ok,2887,5305,25071,3055,5453,28355,29104,58.208000000000006,1.95144,2.0,0.32112602884226016,1.62984,1.0,1.3314734598932116,1446,1.481982535973435,46138,49988,92.29815155637353,dbb3856a300556660a672e3ea6983de5eeecc8ec360100c9e18cc9c5583e6079,8650315f1629e757ca02b0cd382ca940ba3b532aaef639852dfc760e90f44de5,b9da8bb34576f6bbf96ff0e9d8af1dd0fe2679eec5378a461ce0edc597609649,b2710b81d53d5b7520d472b67ca8bc74e635831fa90af6a3eed0baabc9fc4a8f,2ab8648fa0a02dbeeedf8600871b38f97898761aba37845459b00ecf21afee87,047e824ca590e65a926b86f011551327e3533f625fbf91919e3a1859bd27572f,experiments/scaling_artifacts/n50000_seed20260830_main,True,207.72131330007687,2026-08-29T08:43:44+00:00,2026-08-29T08:47:11+00:00
