scenario,seed,status,seconds
adoption_blended_family,20260720,generated,114.7780422000069
asymmetric_source_coverage,20260720,generated,121.00160240000696
clean_baseline_linkage,20260720,generated,127.00642510000034
couple_merge,20260720,generated,124.80692380000255
death_survivor_persistence,20260720,generated,17.767554200006998
divorce_custody,20260720,generated,99.77860289999808
family_birth,20260720,generated,80.49740399999428
high_duplication_dedup,20260720,generated,117.87467859999742
high_noise_identity_drift,20260720,generated,125.9612727000058
low_overlap_sparse_coverage,20260720,generated,115.41643369999656
name_change_lifecycle,20260720,generated,105.20493179999175
roommates_split,20260720,generated,135.4432630999945
single_movers,20260720,generated,152.60566319999634
three_source_partial_overlap,20260720,generated,133.87539640000614
adoption_blended_family,20260721,generated,110.65361239999766
asymmetric_source_coverage,20260721,generated,126.13111349999963
clean_baseline_linkage,20260721,generated,132.85788660000253
couple_merge,20260721,generated,130.13429739999992
death_survivor_persistence,20260721,generated,17.867712000006577
divorce_custody,20260721,generated,103.14464189999853
family_birth,20260721,generated,87.0827236000041
high_duplication_dedup,20260721,generated,124.61790409999958
high_noise_identity_drift,20260721,generated,133.66550070000812
low_overlap_sparse_coverage,20260721,generated,121.47673289998784
name_change_lifecycle,20260721,generated,106.83654739998747
roommates_split,20260721,generated,140.3804369999998
single_movers,20260721,generated,161.3965320999996
three_source_partial_overlap,20260721,generated,136.30246120000083
adoption_blended_family,20260722,generated,146.52842379998765
asymmetric_source_coverage,20260722,generated,166.94658329999947
clean_baseline_linkage,20260722,generated,132.03338399999484
couple_merge,20260722,generated,145.12038700000267
death_survivor_persistence,20260722,generated,22.016136799997184
divorce_custody,20260722,generated,137.1759602999955
family_birth,20260722,generated,109.32160949999525
high_duplication_dedup,20260722,generated,160.3434097999998
high_noise_identity_drift,20260722,generated,174.9350698000053
low_overlap_sparse_coverage,20260722,generated,162.8179259000026
name_change_lifecycle,20260722,generated,134.34987429999455
roommates_split,20260722,generated,185.2786602999986
single_movers,20260722,generated,176.23691930000496
three_source_partial_overlap,20260722,generated,175.1740121000039
adoption_blended_family,20260723,generated,151.45619899999292
asymmetric_source_coverage,20260723,generated,161.56909669999732
clean_baseline_linkage,20260723,generated,174.3088706999988
couple_merge,20260723,generated,170.04440309999336
death_survivor_persistence,20260723,generated,21.691762499991455
divorce_custody,20260723,generated,137.7997483999934
family_birth,20260723,generated,111.36178079999809
high_duplication_dedup,20260723,generated,156.46366090000083
high_noise_identity_drift,20260723,generated,175.94546259999333
low_overlap_sparse_coverage,20260723,generated,159.46594789999654
name_change_lifecycle,20260723,generated,133.57223090001207
roommates_split,20260723,generated,185.84528519999003
single_movers,20260723,generated,208.85929500000202
three_source_partial_overlap,20260723,generated,171.6205074999889
adoption_blended_family,20260724,generated,147.04143920000934
asymmetric_source_coverage,20260724,generated,164.582939800006
clean_baseline_linkage,20260724,generated,176.02055020000262
couple_merge,20260724,generated,166.6576950999879
death_survivor_persistence,20260724,generated,22.529158899997128
divorce_custody,20260724,generated,137.53265910000482
family_birth,20260724,generated,108.6775168000022
high_duplication_dedup,20260724,generated,160.76687140000286
high_noise_identity_drift,20260724,generated,173.65361730000586
low_overlap_sparse_coverage,20260724,generated,162.04202379999333
name_change_lifecycle,20260724,generated,137.9333626000007
roommates_split,20260724,generated,183.58615099999588
single_movers,20260724,generated,208.88395509999827
three_source_partial_overlap,20260724,generated,176.89626160000626
adoption_blended_family,20260725,generated,113.2541676999972
asymmetric_source_coverage,20260725,generated,125.02847380000458
clean_baseline_linkage,20260725,generated,172.07755430000543
couple_merge,20260725,generated,154.59080299999914
death_survivor_persistence,20260725,generated,17.99785860000702
divorce_custody,20260725,generated,104.73712030000752
family_birth,20260725,generated,87.44211230000656
high_duplication_dedup,20260725,generated,121.08767850000004
high_noise_identity_drift,20260725,generated,131.6715785999986
low_overlap_sparse_coverage,20260725,generated,121.51700379999238
name_change_lifecycle,20260725,generated,106.75411740000709
roommates_split,20260725,generated,141.27580319999834
single_movers,20260725,generated,193.05259469999874
three_source_partial_overlap,20260725,generated,135.79704720000154
adoption_blended_family,20260726,generated,107.40491589999874
asymmetric_source_coverage,20260726,generated,126.65003829999478
clean_baseline_linkage,20260726,generated,134.3344686000055
couple_merge,20260726,generated,132.9301634000003
death_survivor_persistence,20260726,generated,17.965042799987714
divorce_custody,20260726,generated,103.40489910000178
family_birth,20260726,generated,86.32547419999901
high_duplication_dedup,20260726,generated,124.2350238999934
high_noise_identity_drift,20260726,generated,131.6253616999893
low_overlap_sparse_coverage,20260726,generated,121.79442199999176
name_change_lifecycle,20260726,generated,105.8760798000003
roommates_split,20260726,generated,139.29118279999238
single_movers,20260726,generated,161.85739849999663
three_source_partial_overlap,20260726,generated,137.99652840000635
adoption_blended_family,20260727,reused,0.0
asymmetric_source_coverage,20260727,reused,0.0
clean_baseline_linkage,20260727,reused,0.0
couple_merge,20260727,reused,0.0
death_survivor_persistence,20260727,reused,0.0
divorce_custody,20260727,reused,0.0
family_birth,20260727,reused,0.0
high_duplication_dedup,20260727,reused,0.0
high_noise_identity_drift,20260727,reused,0.0
low_overlap_sparse_coverage,20260727,reused,0.0
name_change_lifecycle,20260727,reused,0.0
roommates_split,20260727,reused,0.0
single_movers,20260727,reused,0.0
three_source_partial_overlap,20260727,reused,0.0
adoption_blended_family,20260728,reused,0.0
asymmetric_source_coverage,20260728,reused,0.0
clean_baseline_linkage,20260728,reused,0.0
couple_merge,20260728,reused,0.0
death_survivor_persistence,20260728,reused,0.0
divorce_custody,20260728,reused,0.0
family_birth,20260728,reused,0.0
high_duplication_dedup,20260728,reused,0.0
high_noise_identity_drift,20260728,reused,0.0
low_overlap_sparse_coverage,20260728,reused,0.0
name_change_lifecycle,20260728,reused,0.0
roommates_split,20260728,reused,0.0
single_movers,20260728,reused,0.0
three_source_partial_overlap,20260728,reused,0.0
adoption_blended_family,20260729,reused,0.0
asymmetric_source_coverage,20260729,reused,0.0
clean_baseline_linkage,20260729,reused,0.0
couple_merge,20260729,reused,0.0
death_survivor_persistence,20260729,reused,0.0
divorce_custody,20260729,reused,0.0
family_birth,20260729,reused,0.0
high_duplication_dedup,20260729,reused,0.0
high_noise_identity_drift,20260729,reused,0.0
low_overlap_sparse_coverage,20260729,reused,0.0
name_change_lifecycle,20260729,reused,0.0
roommates_split,20260729,reused,0.0
single_movers,20260729,reused,0.0
three_source_partial_overlap,20260729,reused,0.0
