scale,seed,matcher,candidate_recall,threshold,tp,fp,fn,predicted,precision,recall,f1,scoring_recall_given_candidate
0.0,20260720,baseline,1.0,0.65,8214,14,19,8228,0.9982984929508993,0.9976922142596866,0.9979952615272462,0.9976922142596866
0.0,20260720,learned,1.0,0.6500030591266042,8229,4,4,8233,0.9995141503704603,0.9995141503704603,0.9995141503704603,0.9995141503704603
0.0,20260720,splink,1.0,0.9986013472769922,8214,41,19,8255,0.9950333131435494,0.9976922142596866,0.9963609898107716,0.9976922142596866
0.0,20260721,baseline,1.0,0.65,8214,6,11,8220,0.9992700729927008,0.9986626139817629,0.9989662511401644,0.9986626139817629
0.0,20260721,learned,1.0,0.6500030591266042,8220,1,5,8221,0.9998783602968009,0.9993920972644377,0.9996351696461145,0.9993920972644377
0.0,20260721,splink,1.0,0.9986013472769922,8213,32,12,8245,0.9961188599151001,0.9985410334346505,0.9973284760170007,0.9985410334346505
0.0,20260722,baseline,1.0,0.65,8223,11,15,8234,0.9986640757833374,0.9981791697013839,0.9984215638659545,0.9981791697013839
0.0,20260722,learned,1.0,0.6500030591266042,8237,5,1,8242,0.9993933511283669,0.9998786113134256,0.9996359223300971,0.9998786113134256
0.0,20260722,splink,1.0,0.9986013472769922,8222,45,16,8267,0.9945566711019717,0.9980577810148095,0.9963041502574977,0.9980577810148095
0.0,20260723,baseline,1.0,0.65,8215,11,19,8226,0.9986627765621201,0.9976924945348554,0.9981773997569866,0.9976924945348554
0.0,20260723,learned,1.0,0.6500030591266042,8232,3,2,8235,0.9996357012750455,0.9997571046878795,0.9996963992956462,0.9997571046878795
0.0,20260723,splink,1.0,0.9986013472769922,8215,33,19,8248,0.9959990300678953,0.9976924945348554,0.9968450430772964,0.9976924945348554
0.0,20260724,baseline,1.0,0.65,8211,4,10,8215,0.9995130858186244,0.9987836029680087,0.9991482112436115,0.9987836029680087
0.0,20260724,learned,1.0,0.6500030591266042,8218,1,3,8219,0.9998783306971651,0.9996350808904026,0.9997566909975669,0.9996350808904026
0.0,20260724,splink,1.0,0.9986013472769922,8211,45,10,8256,0.9945494186046512,0.9987836029680087,0.9966620137160891,0.9987836029680087
0.0,20260725,baseline,1.0,0.65,8211,11,9,8222,0.9986621260034055,0.9989051094890511,0.9987836029680087,0.9989051094890511
0.0,20260725,learned,1.0,0.6500030591266042,8218,5,2,8223,0.9993919494101909,0.9997566909975669,0.9995742869306088,0.9997566909975669
0.0,20260725,splink,1.0,0.9986013472769922,8211,39,9,8250,0.9952727272727273,0.9989051094890511,0.9970856102003643,0.9989051094890511
