condition,matcher,f1_mean,f1_std,oracle_f1_mean,oracle_f1_std,oracle_threshold_mean,oracle_threshold_std,precision_mean,precision_std,recall_mean,recall_std,candidate_recall_mean,candidate_recall_std,fixed_minus_oracle_mean
clean,baseline,0.9986653970476169,0.00026662661116943364,0.9986653970476169,0.00026662661116943364,0.65,0.0,0.9987810003937385,0.000377456879576879,0.9985499548681751,0.0003858752470532367,1.0,0.0,0.0
clean,learned,0.9994377804205342,0.000199525625764225,0.9995112234167886,0.00018052067304461037,0.7793732736288412,0.12183113276095943,0.9996847198752306,0.00021582034991776087,0.999191021484752,0.0003131257976309462,1.0,0.0,-7.344299625433592e-05
clean,splink,0.9923821013546787,0.0007847520257943361,0.9924153354453031,0.0007556791624315479,0.8842329722100004,0.18631073920994845,0.9862907714137931,0.0013924398743717845,0.9985499548681751,0.0003858752470532367,1.0,0.0,-3.323409062438998e-05
high_noise,baseline,0.9774365115716481,0.0010156346744962014,0.9860553346016078,0.0004801212909346785,0.55,0.0,0.998925009472892,0.00035319621504062556,0.9568544677578157,0.001825370073216412,0.9975621120901765,0.00048759887734398723,-0.008618823029959644
high_noise,learned,0.9929006488359052,0.00045858316237651304,0.9951780351591963,0.0003989337672884633,0.06933594523443536,0.009007444349485985,0.9997337323554364,0.00016831814543516438,0.9861606149239839,0.0008294544018779676,0.9975621120901765,0.00048759887734398723,-0.0022773863232911085
high_noise,splink,0.9714685597342504,0.001039394320940636,0.987368105254242,0.0007405932852152943,0.5662987087670317,0.0,0.9874229927812135,0.001284189409046841,0.9560242968305058,0.0018792195541689606,0.9975621120901765,0.00048759887734398723,-0.01589954551999162
low_overlap,baseline,0.998289128711591,0.0006023062473545681,0.998289128711591,0.0006023062473545681,0.65,0.0,0.998266846035796,0.0005725908068982237,0.9983120716939154,0.0010626221974745543,1.0,0.0,0.0
low_overlap,learned,0.9994443035819506,0.0003361225193608129,0.9995556672019988,0.00031440742594093264,0.7952009792799715,0.14622999423953617,0.9996442223096954,0.00028145167465941454,0.9992446516123932,0.0005950413096325114,1.0,0.0,-0.00011136362004826594
low_overlap,splink,0.9894782118345138,0.0014583342668779762,0.9895255580449543,0.0014402851497675071,0.8951628178995982,0.1763737661896118,0.9808044971830447,0.002953672836478292,0.9983120716939154,0.0010626221974745543,1.0,0.0,-4.7346210440557535e-05
one_to_many,baseline,0.9986493851112433,0.0002358118796546082,0.9986547598171169,0.00023362830653008096,0.6477460317460317,0.004072905762531926,0.9988689779893738,0.0003592108192791946,0.9984299562088512,0.00023902484771998704,0.9999946535500428,1.690695926098773e-05,-5.37470587358424e-06
one_to_many,learned,0.9994238602071549,0.0001810783560063358,0.9994961412302927,0.00014268414779283783,0.7053543963303374,0.12473341093862697,0.9996891132135961,0.00022425805567834759,0.9991587919572826,0.00025336415291748223,0.9999946535500428,1.690695926098773e-05,-7.228102313783236e-05
one_to_many,splink,0.9946483342082706,0.0003839889187671271,0.9946837673703832,0.00034600398066960254,0.9154264531057302,0.17534807314976722,0.9909009077720704,0.0008153158417092395,0.998424609758894,0.00024308806598511288,0.9999946535500428,1.690695926098773e-05,-3.5433162112630257e-05
