condition,matcher,f1_mean,f1_std,closure_f1_mean,closure_f1_std,b3_precision_mean,b3_precision_std,b3_recall_mean,b3_recall_std,b3_f1_mean,b3_f1_std
clean,baseline,0.9986653970476169,0.00026662661116943364,0.9986182142750867,0.0002706695903788239,0.9993642013314131,0.00018947596041773117,0.9986164607827082,0.0003891649196319892,0.9989901452829881,0.00020700498378145666
clean,learned,0.9994377804205342,0.000199525625764225,0.999427273463767,0.00020470240928019965,0.9998319591677166,0.00011437352217565571,0.9989304620867984,0.00029977934984550913,0.9993809819537924,0.000152857970575332
clean,splink,0.9923821013546787,0.0007847520257943361,0.992309585927484,0.000797998771376802,0.9918647989234467,0.000835396955971935,0.998721691940502,0.0003076708677463718,0.9952812813556623,0.0004782362689150156
high_noise,baseline,0.9774365115716481,0.0010156346744962014,0.9773526100307558,0.0010303843713426622,0.9994126015176757,0.000159098477295735,0.9782018637788651,0.0009338681575507431,0.9886933039690836,0.0005127925844562245
high_noise,learned,0.9929006488359052,0.00045858316237651304,0.992863880162575,0.00046448206156040516,0.9998350192916057,9.310512468679879e-05,0.9925286292328369,0.0005669338346966447,0.9961683566234271,0.0002976284645162744
high_noise,splink,0.9714685597342504,0.001039394320940636,0.971152302869578,0.001056753989796862,0.9926204787994427,0.0007193726778552699,0.9778742406102137,0.0009483279929379098,0.9851917964791337,0.0005384256340204819
low_overlap,baseline,0.998289128711591,0.0006023062473545681,0.9982446844853994,0.0006415337278506501,0.9995763760969311,0.00013069310624952722,0.990857298546803,0.0006502394750827075,0.995197650217958,0.00035044854355512306
low_overlap,learned,0.9994443035819506,0.0003361225193608129,0.9994443035819506,0.0003361225193608129,0.9999135395034677,6.80500504390085e-05,0.9910480635957724,0.000658065878281932,0.9954609679396494,0.00034093160394295467
low_overlap,splink,0.9894782118345138,0.0014583342668779762,0.9894782118345138,0.0014583342668779762,0.9956308394237047,0.0007030901465682381,0.9909288501387976,0.0006288107975245283,0.9932739543088657,0.00029095010846768134
one_to_many,baseline,0.9986493851112433,0.0002358118796546082,0.9985932171630717,0.00025445335908465434,0.9993735966542744,0.00019494497761174496,0.9987672668546408,0.00016687377125230288,0.9990703256816719,0.00013148486992399646
one_to_many,learned,0.9994238602071549,0.0001810783560063358,0.9994131452557046,0.00018424060923601747,0.9998343831175311,0.00011801020671372675,0.9993339325979418,0.00016018705219246306,0.9995840876662763,0.0001068155778135156
one_to_many,splink,0.9946483342082706,0.0003839889187671271,0.9945607623120368,0.0004070331712988597,0.9932368232952327,0.0006432547994880068,0.9988195764866454,0.0001419963501998652,0.9960202752562066,0.00032544571576186606
