seed,artifact,rows,sha256
20260720,candidate_scores_parquet,24973,553da4f6ac06c643d8fbec83f0a8651b76d1f96055ffdb8514879981ac4f9581
20260720,dataset_A_canonical_csv,5499,4cf64b90c4fdc03bff31036f27e36b71d6f1cd72ad89bf9c85d107b726ed3f4f
20260720,dataset_B_canonical_csv,11011,160dbd0346ba4ba2b8d184479eb019fbb782c7516500523108be982492a082fd
20260720,entity_map_canonical_csv,16510,88cc89cbe91c9fa88bfeea7ec9688969d74e9c9085edf693872f2f86309533a4
20260721,candidate_scores_parquet,25342,9b9faf6fc7f21802c508fde829d483c4dd19cb4f0781d55dc34d10e6edcc5404
20260721,dataset_A_canonical_csv,5499,abb2fd98ecc88cd9009c0a684cec107e4c5199034b4984fead03d750c8cb6dd7
20260721,dataset_B_canonical_csv,11011,91b64709981fb44c39e04afcf67c5af69f20ce8cdbe2566861169d64503bda03
20260721,entity_map_canonical_csv,16510,83e6b3f9cb5ad21f7f18a3be6cad1f274a29890825f6948272f9777dbb533986
20260722,candidate_scores_parquet,24449,fc0411240e611b2c4af355956b9cdeaee50cfbd75cb905edb34558b49275fca7
20260722,dataset_A_canonical_csv,5499,aa2394974190da941ca36cfb99c2ddcbc5e701960e5eef1951a143676ead64a5
20260722,dataset_B_canonical_csv,11011,775424e7ab2e0caf3cd340a46f7ebc88207260cec4fb45b84f517fd0e8e31ce6
20260722,entity_map_canonical_csv,16510,a312a957cdb478f9d77ab38e0645ae2ba785ccf97b5da8968ea524cbe231fb79
20260723,candidate_scores_parquet,25818,980a1106fc0f1ad7448605a296a66e56cebc8e3143d659cccaff7b0f244becad
20260723,dataset_A_canonical_csv,5499,cda9b6809396aef9c72ee306f1ef1d35f14a2c02b1f343249ca1155c02a2b196
20260723,dataset_B_canonical_csv,11011,e6757d4500a8a7c1698e70aaaff47bfa56620be26867bc72f2b6234f78a237e3
20260723,entity_map_canonical_csv,16510,90e97a903c5b0cd5055c937d26ecf986cbd361cbbefdc998ff9bc4b1404f8f68
20260724,candidate_scores_parquet,25004,07bc3474616c4d2b5af14cb7e80e19d05d3c3fefffaa709d2fc8c6a508475d1e
20260724,dataset_A_canonical_csv,5499,84b83efbca81d79528dffa4f0753474d5f0399ae87ccb93ad1758613d73e4c21
20260724,dataset_B_canonical_csv,11011,9b8ee34518bb51f9a7c8a2f92d0e1be0a7ac7797cd8578042eb7b08319896059
20260724,entity_map_canonical_csv,16510,e78247a900622d2796543cca107a4c798ea09ae1fb0f6f53809740d71420f71c
20260725,candidate_scores_parquet,23945,042d74e9fc26ed355331d0e9990a757ff1735d8f3b9c794b3d24a94cb987e30f
20260725,dataset_A_canonical_csv,5499,443c9cd388fea29963442036c5dd873f3df2756ccd7ad14514c8ff32a1074fb7
20260725,dataset_B_canonical_csv,11011,e1581e2e170c4256a001343320d3c056b3a7287449986ba9ba8bc87ee29aa2ef
20260725,entity_map_canonical_csv,16510,f88b829c32c74d54c395217343cae3fbb257057935d6b9d547ba157cff1f1268
20260726,candidate_scores_parquet,25801,409d7f97caa7c1c4cbabf08c8af378e9fd262a484ef17245f356151a6b9c25c3
20260726,dataset_A_canonical_csv,5499,a2a4e3c2798d61f24d2731ede7853475b951d4b8eace42cf44837518dd572290
20260726,dataset_B_canonical_csv,11011,bd302af4a4d32186eae496b092c7a20e4e25a7b951ed57053f883d9bcf0ad251
20260726,entity_map_canonical_csv,16510,b0267334ccb3546505c184376b62c4902190d8730958de8accabe9f1ff9fcfa1
20260727,candidate_scores_parquet,24527,af0b69665848f96d210052d7bd4bf6ab2fc1d3d5e313591294bd14fcb6054ed6
20260727,dataset_A_canonical_csv,5499,a49d20939804a28ea14104ca33da35fd316d807ed534e6d9428a1ed735f46f6b
20260727,dataset_B_canonical_csv,11011,62624e8769e1c1e3356041a4f2a56fed7b24e767168c6cab77bf18001f89b382
20260727,entity_map_canonical_csv,16510,8817303f9a372a835f7dc130f000aec2d36c112b3a49eed45ace02a0402e4695
20260728,candidate_scores_parquet,25087,ba00a845dc636b6d567a705f57c82e05c746816adb109c71c70f3425af929b8c
20260728,dataset_A_canonical_csv,5499,65b875f49e047b469cf607fc16a28a6a9b05b5feebdb427b9c50dbbc7ac9ab8c
20260728,dataset_B_canonical_csv,11011,abc5405ef6dc3058a69bd511fdbdee6ea948c7efff1f417bbdb2fee6b5d07552
20260728,entity_map_canonical_csv,16510,1a5c0c77ea66d093f715bf5eb5fe62af7067b37de97d8c34be4dbc5b29e7deda
20260729,candidate_scores_parquet,24534,2f87b2a3695cef7b5a38f8ac29a37dcd4e92444e850523da7754e60fdc650764
20260729,dataset_A_canonical_csv,5499,d0d7c2ab00cbb57e6d29595608b98ec932bb806ef9d416a23a174455a0f59c05
20260729,dataset_B_canonical_csv,11011,0238b68b8fe2ffcf580c011f8d6b1cb5ba61f25603116071b5b699036f86fcc3
20260729,entity_map_canonical_csv,16510,17952d6d7faa5feb69a07fd2ed991a6e6a563004546781c9a8edd877698ee886
