seed,records_a,records_b,records,true_pairs,cartesian_pairs,candidate_pairs,candidate_recall,matcher,threshold,tp,fp,fn,predicted,precision,recall,f1,false_positives,b3_precision,b3_recall,b3_f1,predicted_clusters,truth_clusters,coaddress_false_positives,coaddress_fp_share,arm,matches_e2,generation_seconds,candidate_seconds
20260720,5499,11011,16510,10460,60549489,24973,0.8637667304015296,baseline,0.65,3963,0,6497,3963,1.0,0.3788718929254302,0.5495389308742981,0,1.0,0.5565818695739813,0.7151334349362701,12547,6050,0,0.0,GeCo analog,True,4.060485099995276,9.610497400004533
20260720,5499,11011,16510,10460,60549489,24973,0.8637667304015296,learned,0.6500030591266042,5444,0,5016,5444,1.0,0.5204588910133843,0.6846076458752515,0,1.0,0.6430042398546316,0.7827176878271754,11066,6050,0,0.0,GeCo analog,True,4.060485099995276,9.610497400004533
20260720,5499,11011,16510,10460,60549489,24973,0.8637667304015296,splink,0.9986013472769922,6734,7,3726,6741,0.9989615784008308,0.6437858508604206,0.7829777338526829,7,0.9994548758328285,0.7247324853624074,0.8402073144391675,9769,6050,0,0.0,GeCo analog,True,4.060485099995276,9.610497400004533
20260721,5499,11011,16510,10460,60549489,25342,0.8671128107074569,baseline,0.65,4033,0,6427,4033,1.0,0.3855640535372849,0.5565445387428414,0,1.0,0.5603169796083055,0.7182091676640792,12477,6050,0,0.0,GeCo analog,True,4.301683099998627,8.529375300000538
20260721,5499,11011,16510,10460,60549489,25342,0.8671128107074569,learned,0.6500030591266042,5435,0,5025,5435,1.0,0.5195984703632888,0.6838628499528154,0,1.0,0.6408237431859463,0.7811000369139892,11075,6050,0,0.0,GeCo analog,True,4.301683099998627,8.529375300000538
20260721,5499,11011,16510,10460,60549489,25342,0.8671128107074569,splink,0.9986013472769922,6677,6,3783,6683,0.9991021996109531,0.6383365200764818,0.7789768418596511,6,0.999529578033515,0.721047849788008,0.8377520725156702,9827,6050,0,0.0,GeCo analog,True,4.301683099998627,8.529375300000538
20260722,5499,11011,16510,10460,60549489,24449,0.8658699808795411,baseline,0.65,4077,0,6383,4077,1.0,0.38977055449330783,0.5609135309898878,0,1.0,0.562840702604469,0.720279042728407,12433,6050,0,0.0,GeCo analog,True,3.781544400000712,8.132838399993489
20260722,5499,11011,16510,10460,60549489,24449,0.8658699808795411,learned,0.6500030591266042,5529,2,4931,5531,0.9996384017356716,0.528585086042065,0.6915139766118442,2,0.9996931152836666,0.6480415909549747,0.7863434743982813,10979,6050,0,0.0,GeCo analog,True,3.781544400000712,8.132838399993489
20260722,5499,11011,16510,10460,60549489,24449,0.8658699808795411,splink,0.9986013472769922,6692,5,3768,6697,0.9992533970434523,0.6397705544933079,0.7800897592819258,5,0.9995699576014535,0.7222895215021214,0.8386037480360736,9813,6050,0,0.0,GeCo analog,True,3.781544400000712,8.132838399993489
20260723,5499,11011,16510,10460,60549489,25818,0.8659655831739962,baseline,0.65,3953,0,6507,3953,1.0,0.37791586998087956,0.5485325747588983,0,1.0,0.5563294972743666,0.7149250827009043,12557,6050,0,0.0,GeCo analog,True,4.059712699992815,8.082732599999872
20260723,5499,11011,16510,10460,60549489,25818,0.8659655831739962,learned,0.6500030591266042,5397,0,5063,5397,1.0,0.5159655831739962,0.6807088352147317,0,1.0,0.6398344437714517,0.780364684010293,11113,6050,0,0.0,GeCo analog,True,4.059712699992815,8.082732599999872
20260723,5499,11011,16510,10460,60549489,25818,0.8659655831739962,splink,0.9986013472769922,6678,6,3782,6684,0.9991023339317774,0.6384321223709369,0.7790480634624358,6,0.9995659196446597,0.7215828790631957,0.838125854838506,9826,6050,0,0.0,GeCo analog,True,4.059712699992815,8.082732599999872
20260724,5499,11011,16510,10460,60549489,25004,0.8652963671128107,baseline,0.65,3995,0,6465,3995,1.0,0.38193116634799235,0.5527499135247319,0,1.0,0.5584998990510673,0.7167147067396339,12515,6050,0,0.0,GeCo analog,True,4.555342299994663,8.184104100000695
20260724,5499,11011,16510,10460,60549489,25004,0.8652963671128107,learned,0.6500030591266042,5436,0,5024,5436,1.0,0.5196940726577438,0.6839456467035733,0,1.0,0.6432768019382175,0.7829195923407223,11074,6050,0,0.0,GeCo analog,True,4.555342299994663,8.184104100000695
20260724,5499,11011,16510,10460,60549489,25004,0.8652963671128107,splink,0.9986013472769922,6670,6,3790,6676,0.9991012582384662,0.6376673040152964,0.7784780578898226,6,0.9994508378760348,0.7206137694326681,0.8374313762218225,9834,6050,0,0.0,GeCo analog,True,4.555342299994663,8.184104100000695
20260725,5499,11011,16510,10460,60549489,23945,0.8667304015296368,baseline,0.65,3981,0,6479,3981,1.0,0.3805927342256214,0.5513468596357592,0,1.0,0.5576923076922926,0.7160493827160369,12529,6050,0,0.0,GeCo analog,True,4.153474100006861,8.199538699991535
20260725,5499,11011,16510,10460,60549489,23945,0.8667304015296368,learned,0.6500030591266042,5411,1,5049,5412,0.9998152254249815,0.5173040152963672,0.6818296370967741,1,0.9999192408641226,0.6401877649909102,0.7806028042011682,11098,6050,0,0.0,GeCo analog,True,4.153474100006861,8.199538699991535
20260725,5499,11011,16510,10460,60549489,23945,0.8667304015296368,splink,0.9986013472769922,6664,4,3796,6668,0.9994001199760048,0.637093690248566,0.7781410555815039,4,0.9997072481324448,0.721280032303654,0.8379711859862762,9842,6050,0,0.0,GeCo analog,True,4.153474100006861,8.199538699991535
