seed,artifact,path,bytes,sha256
20260720,manifest.json,phase2/runs/2026-07-22_e1_clean_s20260720_seed20260720/manifest.json,7536,cc84db6a4e0f254db99371e3d6c1329b494a9f851299d91f5ae3fbda942610b5
20260720,quality_report.json,phase2/runs/2026-07-22_e1_clean_s20260720_seed20260720/quality_report.json,12400,9a5c2c56ba58e06a3d3d77527686f8ee91e44d2c5916151be40d73f6b8ed5203
20260720,truth_people.parquet,phase2/runs/2026-07-22_e1_clean_s20260720_seed20260720/truth_people.parquet,558643,d85f8b2849c05ed2725a6f667813e575ea3fc79bba4b77a7643ca5823e4e7099
20260720,truth_households.parquet,phase2/runs/2026-07-22_e1_clean_s20260720_seed20260720/truth_households.parquet,37551,f8420fbe06c7252b8e96ee96fb91154732decea93a9e93c409e49b4946cd2563
20260720,truth_household_memberships.parquet,phase2/runs/2026-07-22_e1_clean_s20260720_seed20260720/truth_household_memberships.parquet,115575,c147ebc4a6461627cc534a038dd47b58f4034c6d8fc16ea2cf5767b6257da6da
20260720,truth_residence_history.parquet,phase2/runs/2026-07-22_e1_clean_s20260720_seed20260720/truth_residence_history.parquet,125418,b69ddf9c74d144377b445cafc15c9d3069c1bda4838ece5214f64024d393f6ac
20260720,truth_events.parquet,phase2/runs/2026-07-22_e1_clean_s20260720_seed20260720/truth_events.parquet,41026,f18a492c6b69d2651567f4a6e214a79c4dbf2f4db30d66d0faa16aca4ffabf68
20260721,manifest.json,phase2/runs/2026-07-22_e1_clean_s20260721_seed20260721/manifest.json,7534,2356d0b5c418e52cce9f67b394f37016cd102b0685dd0ae02d0c27fefad10a3d
20260721,quality_report.json,phase2/runs/2026-07-22_e1_clean_s20260721_seed20260721/quality_report.json,12371,761fc346732567a581df6ea1010cbfacb6f83d93c89e65ef3e78b9a6b3973bf6
20260721,truth_people.parquet,phase2/runs/2026-07-22_e1_clean_s20260721_seed20260721/truth_people.parquet,557003,ab9759f657cf66e1435a3f17a14b5914ab67079c6b9a8e1c585163755341f4d1
20260721,truth_households.parquet,phase2/runs/2026-07-22_e1_clean_s20260721_seed20260721/truth_households.parquet,37518,914d45267da2340a867cc9e2a3bed63b9c380b1c0626bbc4ed5c9a567976bc6c
20260721,truth_household_memberships.parquet,phase2/runs/2026-07-22_e1_clean_s20260721_seed20260721/truth_household_memberships.parquet,115255,270dd4f3e1dc156b475a8845b6eda557ad6257619232ab76b5593f85e0bbd5f5
20260721,truth_residence_history.parquet,phase2/runs/2026-07-22_e1_clean_s20260721_seed20260721/truth_residence_history.parquet,123957,563c3db9d144241a37c2b7d1efdf94afd013b4905479c2a7304041a007d6a3fb
20260721,truth_events.parquet,phase2/runs/2026-07-22_e1_clean_s20260721_seed20260721/truth_events.parquet,38556,f83f1bb08010fc55b1de114587d559a1789d7e9f3e141995467b6f70782e4264
20260722,manifest.json,phase2/runs/2026-07-22_e1_clean_s20260722_seed20260722/manifest.json,7536,a8f3ee84542b13e7bbe26fde62475983eb050974255dc4e8640b91f2680c14ba
20260722,quality_report.json,phase2/runs/2026-07-22_e1_clean_s20260722_seed20260722/quality_report.json,12258,0d6ed4bc1261c20c6f0486fbb9dee25da7fba6c1fec78550f2817a6d92a7462f
20260722,truth_people.parquet,phase2/runs/2026-07-22_e1_clean_s20260722_seed20260722/truth_people.parquet,558159,558258989032edfc980839c70ceedee9eec8d57eea93318b5599664220f46630
20260722,truth_households.parquet,phase2/runs/2026-07-22_e1_clean_s20260722_seed20260722/truth_households.parquet,37488,3fb93de31dea2e3d4bd57bc6b37553bdd565e4b7bdfc38430ed3252f47d0aaa1
20260722,truth_household_memberships.parquet,phase2/runs/2026-07-22_e1_clean_s20260722_seed20260722/truth_household_memberships.parquet,115384,ea276892e18a33e47cc20877600bd412cebd7d2d8df883371481a6a7eaf59d94
20260722,truth_residence_history.parquet,phase2/runs/2026-07-22_e1_clean_s20260722_seed20260722/truth_residence_history.parquet,124763,18bd0fb4cf7a7ccc52fe907f12ada4dbb8a770a6c1e90ab91cbc97331a8b99d1
20260722,truth_events.parquet,phase2/runs/2026-07-22_e1_clean_s20260722_seed20260722/truth_events.parquet,40524,f2c64eafd7f41b7778317eec1838d827dd5cbda8c025e4f11d5d6718fdea50ee
20260723,manifest.json,phase2/runs/2026-07-22_e1_clean_s20260723_seed20260723/manifest.json,7527,05e6bb9a4b4ac442b2283f042c2ec914e6252ce210656e733d24e4fb79cbdbe3
20260723,quality_report.json,phase2/runs/2026-07-22_e1_clean_s20260723_seed20260723/quality_report.json,12398,f05a08ce348c25273f3f05180417fa7f35a957162f89cf84745e62ba61bebab7
20260723,truth_people.parquet,phase2/runs/2026-07-22_e1_clean_s20260723_seed20260723/truth_people.parquet,558929,f61f56fa8ec88418b756fd54c769bfcb372b18e3f7501bcba596ac7bf3335495
20260723,truth_households.parquet,phase2/runs/2026-07-22_e1_clean_s20260723_seed20260723/truth_households.parquet,37441,59731da113147c81b769aef692b0faaf3b2be6cfeda7d0e2c357b8ba0d51426f
20260723,truth_household_memberships.parquet,phase2/runs/2026-07-22_e1_clean_s20260723_seed20260723/truth_household_memberships.parquet,115351,061733bbbdc2f6c98591c62af5223befe3e004b66e42001c4d9553e032c6f6b0
20260723,truth_residence_history.parquet,phase2/runs/2026-07-22_e1_clean_s20260723_seed20260723/truth_residence_history.parquet,124795,6f18528e0a5a5b9893d2c78efeb1b7aed802adf43de0322cd1bbb04a4539a9be
20260723,truth_events.parquet,phase2/runs/2026-07-22_e1_clean_s20260723_seed20260723/truth_events.parquet,40671,bfcdba2e8628e16fdfdbf9b80fe23501a1faf305b8bb96af71dcbbd6fbb389c6
20260724,manifest.json,phase2/runs/2026-07-22_e1_clean_s20260724_seed20260724/manifest.json,7536,e29d4a304195d52060141196675c852585aabd3a84a617fbd5ca26d5bd6a82db
20260724,quality_report.json,phase2/runs/2026-07-22_e1_clean_s20260724_seed20260724/quality_report.json,12395,fbcd1f51c00208481026c479e347747d286304f7617679963e7051c3f6416286
20260724,truth_people.parquet,phase2/runs/2026-07-22_e1_clean_s20260724_seed20260724/truth_people.parquet,559094,da47a51ca61eb5b60f47e68c61fc5be28e15d4d23494e793a383c054285b4e4d
20260724,truth_households.parquet,phase2/runs/2026-07-22_e1_clean_s20260724_seed20260724/truth_households.parquet,37378,0b7bf85ebff945d492582a8ca3a716b9ff8a4bc00550e98e31cc4b3cd5ed2251
20260724,truth_household_memberships.parquet,phase2/runs/2026-07-22_e1_clean_s20260724_seed20260724/truth_household_memberships.parquet,115407,62b52f774bc81a4599932fcd90bedfe0ff51d9797cb565becf08bc41288cff83
20260724,truth_residence_history.parquet,phase2/runs/2026-07-22_e1_clean_s20260724_seed20260724/truth_residence_history.parquet,124930,fa49711dee08482361bc02ff23fdb0439b9aa1e1824bd6b7e081d36cef61f724
20260724,truth_events.parquet,phase2/runs/2026-07-22_e1_clean_s20260724_seed20260724/truth_events.parquet,40834,01c67926f6317e7a881341b48a024f06c6031067edf5e59de3b3d2da86a9dd0f
20260725,manifest.json,phase2/runs/2026-07-22_e1_clean_s20260725_seed20260725/manifest.json,7536,07eca6398810bef818ccc55f9a2f339fd0cd10ec9709b5bdb0454e707984ee8c
20260725,quality_report.json,phase2/runs/2026-07-22_e1_clean_s20260725_seed20260725/quality_report.json,12418,6a4cef7711df4c1f004ad4eee54287b5e116a6e3c5ad9a29c5c6a72513d7643b
20260725,truth_people.parquet,phase2/runs/2026-07-22_e1_clean_s20260725_seed20260725/truth_people.parquet,558456,a1c12abbcf8f1bf229f4e38e4d64f8fc6fe1a39ddcbff9bcdd90de0a9a9a0dc4
20260725,truth_households.parquet,phase2/runs/2026-07-22_e1_clean_s20260725_seed20260725/truth_households.parquet,37413,b5b5fff7c5eaceb3815fb9b4c86536d41b7047333c873ba37fbb0bd626ed9d08
20260725,truth_household_memberships.parquet,phase2/runs/2026-07-22_e1_clean_s20260725_seed20260725/truth_household_memberships.parquet,115368,d69ff445200c9f2394748876b3d1d4d68c767ea5f88078e09d59b2bc5f619f07
20260725,truth_residence_history.parquet,phase2/runs/2026-07-22_e1_clean_s20260725_seed20260725/truth_residence_history.parquet,124537,92b449cc3b6971abbe0bdf343cff7283be6b8c2d0e44539159d28854e21bace6
20260725,truth_events.parquet,phase2/runs/2026-07-22_e1_clean_s20260725_seed20260725/truth_events.parquet,40181,dd4c7de489176d4c75f54c498b2cb1ede8bf3e053fc992108b920db6845fa0bd
20260726,manifest.json,phase2/runs/2026-07-22_e1_clean_s20260726_seed20260726/manifest.json,7536,9bc8324af6f724b6b6a3a712e4e673f06ca5a8df06e4fe0b4e233121ae7164ce
20260726,quality_report.json,phase2/runs/2026-07-22_e1_clean_s20260726_seed20260726/quality_report.json,12393,fb76b39abe571bdfcd53846aa26aab825b18e0afca5a4bcec31d31cb9578add4
20260726,truth_people.parquet,phase2/runs/2026-07-22_e1_clean_s20260726_seed20260726/truth_people.parquet,558841,eededf0d02477898f52ac79cee96e2c2ea1e20a54c8642f3c1987b9d6f73a813
20260726,truth_households.parquet,phase2/runs/2026-07-22_e1_clean_s20260726_seed20260726/truth_households.parquet,37438,0371a698e9512d741a2fb5ccceb90706af24d2688a09fe300bb7c11d486d2bc9
20260726,truth_household_memberships.parquet,phase2/runs/2026-07-22_e1_clean_s20260726_seed20260726/truth_household_memberships.parquet,115379,36cb3bb370fc8b5308db73c4a76bde15681fa2730d9f63bb468011bfba1ea415
20260726,truth_residence_history.parquet,phase2/runs/2026-07-22_e1_clean_s20260726_seed20260726/truth_residence_history.parquet,125226,fe5484790c77f88d529e9dfc8b501701bfa18eb3792a7ac3914a5c7306cfeba2
20260726,truth_events.parquet,phase2/runs/2026-07-22_e1_clean_s20260726_seed20260726/truth_events.parquet,40913,0ed3b30c59d2cfadd39daa2c8831fc4a955b63ca5f09196c6ac176e8ce5a26e9
20260727,manifest.json,phase2/runs/2026-07-22_e1_clean_s20260727_seed20260727/manifest.json,7536,7bd4400c7d54d67b73c0756d2a09daa5a8d20a62bf53fe1ad97042b8e3f2f77f
20260727,quality_report.json,phase2/runs/2026-07-22_e1_clean_s20260727_seed20260727/quality_report.json,12392,adcaa2b4b983b5a5ca14480d09dcb3a83231f2a6ff0b8f77b11c3782bbf72278
20260727,truth_people.parquet,phase2/runs/2026-07-22_e1_clean_s20260727_seed20260727/truth_people.parquet,558280,2472bc128339f1d2165d217104b242e79066afe3bb091b75f0cfd79d70b68e07
20260727,truth_households.parquet,phase2/runs/2026-07-22_e1_clean_s20260727_seed20260727/truth_households.parquet,37424,408e89b11b86043a13aea4596a16c5526ad7ae7bf1ab6beb9c46d15fab3515b1
20260727,truth_household_memberships.parquet,phase2/runs/2026-07-22_e1_clean_s20260727_seed20260727/truth_household_memberships.parquet,115404,7338e3e4c873bdd828cd1f9c70676c2c57acd476c5955fa7c5fa91a55e6d2b45
20260727,truth_residence_history.parquet,phase2/runs/2026-07-22_e1_clean_s20260727_seed20260727/truth_residence_history.parquet,124250,8ef56e001ab24b0d2fd4f95263c99a017867bc1efbe98a833156919e621dd864
20260727,truth_events.parquet,phase2/runs/2026-07-22_e1_clean_s20260727_seed20260727/truth_events.parquet,39240,65639c30c4670339cd6e0b95133c0a1af36a5501019713ce9fc787d01d90f9c2
20260728,manifest.json,phase2/runs/2026-07-22_e1_clean_s20260728_seed20260728/manifest.json,7536,803c9a03882a86ccd3b54d013ca9c41d58842291ebc5ef62f154769af8a57e58
20260728,quality_report.json,phase2/runs/2026-07-22_e1_clean_s20260728_seed20260728/quality_report.json,12417,b905bf8e45e7c8e5be02b360465990c628d92c5a0b93365bb37432dfc90a3938
20260728,truth_people.parquet,phase2/runs/2026-07-22_e1_clean_s20260728_seed20260728/truth_people.parquet,559125,34b0b600ccc5e867e5dda49d749e16728d2dafa9cdfbd86873f518cea99c92f8
20260728,truth_households.parquet,phase2/runs/2026-07-22_e1_clean_s20260728_seed20260728/truth_households.parquet,37404,5c8c752fac700514ac5741110d97e910b75f73b202aa03ce5d15d52e9aa134d4
