seed,condition,repetition,round_order,runtime_s,candidate_pairs,candidate_true_pairs,score_label_sha256
20260720,clean,1,1,11.183193699995172,66778,9510,d1f239f22bb112112cb0304180a3df64813177b7ce53dc77ce9c9b4fa671073c
20260720,clean,2,4,11.073667499993462,66778,9510,d1f239f22bb112112cb0304180a3df64813177b7ce53dc77ce9c9b4fa671073c
20260720,clean,3,3,11.074613200005842,66778,9510,d1f239f22bb112112cb0304180a3df64813177b7ce53dc77ce9c9b4fa671073c
20260720,clean,4,2,11.074163499986753,66778,9510,d1f239f22bb112112cb0304180a3df64813177b7ce53dc77ce9c9b4fa671073c
20260720,clean,5,1,10.98561739998695,66778,9510,d1f239f22bb112112cb0304180a3df64813177b7ce53dc77ce9c9b4fa671073c
20260720,high_noise,1,2,11.097862599999644,63637,9490,87bbc0b7eb201502a26ff0a51b83c02931bed83d91ac95cfd97d8714f7104785
20260720,high_noise,2,1,11.067495700001018,63637,9490,87bbc0b7eb201502a26ff0a51b83c02931bed83d91ac95cfd97d8714f7104785
20260720,high_noise,3,4,11.128931300001568,63637,9490,87bbc0b7eb201502a26ff0a51b83c02931bed83d91ac95cfd97d8714f7104785
20260720,high_noise,4,3,11.317914100000053,63637,9490,87bbc0b7eb201502a26ff0a51b83c02931bed83d91ac95cfd97d8714f7104785
20260720,high_noise,5,2,10.92337609999231,63637,9490,87bbc0b7eb201502a26ff0a51b83c02931bed83d91ac95cfd97d8714f7104785
20260720,low_overlap,1,3,6.171486999999615,20788,2247,dd7fc623a98c32722e63cb4b937cace5568dd6a5813bea887a9b3e1538d45d2d
20260720,low_overlap,2,2,6.344995099992957,20788,2247,dd7fc623a98c32722e63cb4b937cace5568dd6a5813bea887a9b3e1538d45d2d
20260720,low_overlap,3,1,6.077943800002686,20788,2247,dd7fc623a98c32722e63cb4b937cace5568dd6a5813bea887a9b3e1538d45d2d
20260720,low_overlap,4,4,6.321240600009332,20788,2247,dd7fc623a98c32722e63cb4b937cace5568dd6a5813bea887a9b3e1538d45d2d
20260720,low_overlap,5,3,6.10239110000839,20788,2247,dd7fc623a98c32722e63cb4b937cace5568dd6a5813bea887a9b3e1538d45d2d
20260720,one_to_many,1,4,16.44549869999173,127891,18666,48507011356d648a9c9b15eb1dee6ac4aa528689cab04c2ca05760eda602af83
20260720,one_to_many,2,3,16.394978600001195,127891,18666,48507011356d648a9c9b15eb1dee6ac4aa528689cab04c2ca05760eda602af83
20260720,one_to_many,3,2,16.561012000005576,127891,18666,48507011356d648a9c9b15eb1dee6ac4aa528689cab04c2ca05760eda602af83
20260720,one_to_many,4,1,16.41229910000402,127891,18666,48507011356d648a9c9b15eb1dee6ac4aa528689cab04c2ca05760eda602af83
20260720,one_to_many,5,4,16.020824400009587,127891,18666,48507011356d648a9c9b15eb1dee6ac4aa528689cab04c2ca05760eda602af83
