seed,condition,run_id,records_a,records_b,true_links,candidate_pairs,cartesian_space,candidate_recall,candidate_reduction_ratio
20260720,clean,2026-07-22_e1_clean_s20260720_seed20260720,9633,10007,9510,66778,96397431,1.0,0.999307263696685
20260721,clean,2026-07-22_e1_clean_s20260721_seed20260721,9632,9976,9524,66693,96088832,1.0,0.9993059235021193
20260722,clean,2026-07-22_e1_clean_s20260722_seed20260722,9651,10000,9546,67370,96510000,1.0,0.9993019376230442
20260723,clean,2026-07-22_e1_clean_s20260723_seed20260723,9636,10010,9528,65724,96456360,1.0,0.9993186141380412
20260724,clean,2026-07-22_e1_clean_s20260724_seed20260724,9623,10019,9506,66797,96412837,1.0,0.9993071773212109
20260725,clean,2026-07-22_e1_clean_s20260725_seed20260725,9630,10013,9516,65563,96425190,1.0,0.999320063564303
20260726,clean,2026-07-22_e1_clean_s20260726_seed20260726,9624,10013,9512,66143,96365112,1.0,0.9993136208880243
20260727,clean,2026-07-22_e1_clean_s20260727_seed20260727,9632,10005,9513,64809,96368160,1.0,0.9993274853437069
20260728,clean,2026-07-22_e1_clean_s20260728_seed20260728,9624,10010,9509,66175,96336240,1.0,0.9993130830100905
20260729,clean,2026-07-22_e1_clean_s20260729_seed20260729,9617,9990,9500,64453,96073830,1.0,0.9993291305238898
20260720,high_noise,2026-07-22_e1_high_noise_s20260720_seed20260720,9633,10007,9510,63637,96397431,0.9978969505783386,0.9993398475525763
20260721,high_noise,2026-07-22_e1_high_noise_s20260721_seed20260721,9632,9976,9524,63150,96088832,0.997270054598908,0.9993427956331075
20260722,high_noise,2026-07-22_e1_high_noise_s20260722_seed20260722,9651,10000,9546,64449,96510000,0.9973811020322648,0.9993322039166925
20260723,high_noise,2026-07-22_e1_high_noise_s20260723_seed20260723,9636,10010,9528,62443,96456360,0.9972712006717044,0.9993526295207491
20260724,high_noise,2026-07-22_e1_high_noise_s20260724_seed20260724,9623,10019,9506,63634,96412837,0.996844098464128,0.9993399841558444
20260725,high_noise,2026-07-22_e1_high_noise_s20260725_seed20260725,9630,10013,9516,62347,96425190,0.998108448928121,0.9993534158449675
20260726,high_noise,2026-07-22_e1_high_noise_s20260726_seed20260726,9624,10013,9512,63293,96365112,0.9980025231286797,0.999343195906834
20260727,high_noise,2026-07-22_e1_high_noise_s20260727_seed20260727,9632,10005,9513,61546,96368160,0.9982129717229056,0.9993613450749709
20260728,high_noise,2026-07-22_e1_high_noise_s20260728_seed20260728,9624,10010,9509,63152,96336240,0.9976864023556632,0.9993444626861085
20260729,high_noise,2026-07-22_e1_high_noise_s20260729_seed20260729,9617,9990,9500,61224,96073830,0.9969473684210526,0.9993627400926974
20260720,low_overlap,2026-07-22_e1_low_overlap_s20260720_seed20260720,5820,5364,2247,20788,31218480,1.0,0.9993341123590899
20260721,low_overlap,2026-07-22_e1_low_overlap_s20260721_seed20260721,5820,5348,2244,21008,31125360,1.0,0.9993250519833345
20260722,low_overlap,2026-07-22_e1_low_overlap_s20260722_seed20260722,5831,5362,2255,20994,31265822,1.0,0.999328531966951
20260723,low_overlap,2026-07-22_e1_low_overlap_s20260723_seed20260723,5823,5366,2270,20445,31246218,1.0,0.9993456808116745
20260724,low_overlap,2026-07-22_e1_low_overlap_s20260724_seed20260724,5814,5371,2256,20944,31226994,1.0,0.999329298234726
20260725,low_overlap,2026-07-22_e1_low_overlap_s20260725_seed20260725,5819,5368,2251,20388,31236392,1.0,0.999347299777772
20260726,low_overlap,2026-07-22_e1_low_overlap_s20260726_seed20260726,5815,5368,2246,20784,31214920,1.0,0.9993341645597682
20260727,low_overlap,2026-07-22_e1_low_overlap_s20260727_seed20260727,5820,5364,2247,20283,31218480,1.0,0.9993502886751693
20260728,low_overlap,2026-07-22_e1_low_overlap_s20260728_seed20260728,5815,5367,2245,20437,31209105,1.0,0.9993451590489378
20260729,low_overlap,2026-07-22_e1_low_overlap_s20260729_seed20260729,5811,5356,2244,20254,31123716,1.0,0.9993492422305871
20260720,one_to_many,2026-07-22_e1_one_to_many_s20260720_seed20260720,9633,19051,18666,127891,183518283,1.0,0.9993031157555021
20260721,one_to_many,2026-07-22_e1_one_to_many_s20260721_seed20260721,9632,19019,18666,127995,183191008,1.0,0.9993013030421232
20260722,one_to_many,2026-07-22_e1_one_to_many_s20260722_seed20260722,9651,19060,18704,129287,183948060,0.9999465355004276,0.9992971548599099
20260723,one_to_many,2026-07-22_e1_one_to_many_s20260723_seed20260723,9636,19057,18672,125907,183633252,1.0,0.9993143562038536
20260724,one_to_many,2026-07-22_e1_one_to_many_s20260724_seed20260724,9623,19053,18644,127932,183347019,1.0,0.9993022411779708
20260725,one_to_many,2026-07-22_e1_one_to_many_s20260725_seed20260725,9630,19054,18658,125804,183490020,1.0,0.9993143823298946
20260726,one_to_many,2026-07-22_e1_one_to_many_s20260726_seed20260726,9624,19048,18646,126704,183317952,1.0,0.999308829284761
20260727,one_to_many,2026-07-22_e1_one_to_many_s20260727_seed20260727,9632,19048,18666,124113,183470336,1.0,0.9993235255207686
20260728,one_to_many,2026-07-22_e1_one_to_many_s20260728_seed20260728,9624,19045,18650,126942,183289080,1.0,0.9993074219151518
20260729,one_to_many,2026-07-22_e1_one_to_many_s20260729_seed20260729,9617,19018,18636,123426,182896106,1.0,0.9993251578576529
