PersonKey,A_RecordKey,B_RecordKey
1,A-000000001,B-000000001
2,A-000000002,B-000000002
3,A-000000003,B-000000003
4,A-000000004,B-000000004
5,A-000000005,B-000000005
6,A-000000006,B-000000006
8,,B-000000007
10,A-000000007,B-000000008
12,A-000000008,B-000000009
16,A-000000009,B-000000010
18,A-000000010,B-000000011
20,A-000000011,B-000000012
21,A-000000012,B-000000013
24,A-000000013,B-000000014
25,A-000000014,B-000000015
26,A-000000015,B-000000016
27,A-000000016,B-000000017
28,A-000000017,B-000000018
30,A-000000018,B-000000019
31,A-000000019,B-000000020
32,A-000000020,B-000000021
33,A-000000021,B-000000022
38,A-000000022,B-000000023
39,A-000000023,B-000000024
40,A-000000024,B-000000025
41,A-000000025,B-000000026
42,A-000000026,B-000000027
43,A-000000027,B-000000028
44,A-000000028,B-000000029
45,A-000000029,B-000000030
46,A-000000030,B-000000031
48,A-000000031,B-000000032
49,A-000000032,B-000000033
54,A-000000033,B-000000034
55,A-000000034,B-000000035
56,A-000000035,B-000000036
57,A-000000036,B-000000037
59,,B-000000038
60,A-000000037,B-000000039
61,A-000000038,B-000000040
62,A-000000039,B-000000041
66,A-000000040,B-000000042
69,A-000000041,B-000000043
70,A-000000042,B-000000044
71,A-000000043,B-000000045
73,A-000000044,B-000000046
75,A-000000045,B-000000047
76,A-000000046,B-000000048
77,,B-000000049
79,,B-000000050
80,A-000000047,B-000000051
81,A-000000048,B-000000052
85,A-000000049,B-000000053
86,A-000000050,B-000000054
91,A-000000051,B-000000055
92,A-000000052,B-000000056
93,A-000000053,B-000000057
95,A-000000054,B-000000058
96,A-000000055,B-000000059
98,A-000000056,B-000000060
101,A-000000057,B-000000061
102,A-000000058,B-000000062
103,A-000000059,B-000000063
104,A-000000060,B-000000064
105,A-000000061,B-000000065
106,A-000000062,B-000000066
112,A-000000063,B-000000067
113,A-000000064,B-000000068
114,A-000000065,B-000000069
115,A-000000066,B-000000070
116,A-000000067,B-000000071
118,A-000000068,B-000000072
120,A-000000069,B-000000073
122,A-000000070,B-000000074
125,A-000000071,B-000000075
126,A-000000072,B-000000076
128,A-000000073,B-000000077
129,A-000000074,B-000000078
131,A-000000075,B-000000079
133,A-000000076,B-000000080
134,A-000000077,B-000000081
137,A-000000078,B-000000082
138,A-000000079,B-000000083
141,,B-000000084
142,A-000000080,B-000000085
143,A-000000081,B-000000086
144,A-000000082,B-000000087
146,A-000000083,B-000000088
149,A-000000084,B-000000089
150,A-000000085,B-000000090
151,A-000000086,B-000000091
152,A-000000087,B-000000092
153,A-000000088,B-000000093
154,A-000000089,B-000000094
155,,B-000000095
156,A-000000090,B-000000096
157,A-000000091,B-000000097
158,A-000000092,B-000000098
159,A-000000093,B-000000099
161,A-000000094,B-000000100
162,A-000000095,B-000000101
163,A-000000096,B-000000102
165,A-000000097,B-000000103
166,A-000000098,B-000000104
167,A-000000099,B-000000105
168,A-000000100,B-000000106
170,A-000000101,B-000000107
