paper_table,paper_analysis_label,experiment_id,condition_or_scenario,seed,yaml_path,yaml_sha256,truth_layer_sha256,truth_layer_component_sha256_json,emission_config_differences_from_table_reference,reference_yaml_path,run_path,truth_layer_hash_definition
Table I,Clean,E1,clean,20260720,paper_experiments/results/E1_multiseed/configs/e1_clean_s20260720.yaml,0b2b00ac9ca228d604ea3907efe8acb5703c23d129fce669132f203f24f66bd1,8bc715cf035571d7232541148228c8375f1a16ae74d1a03f88e0a5974493222e,"{""entity_record_map.csv"":""e1028c7070853642793c6f35d6288242ac72e345c5d91f1d04b3efc51d082b4c"",""truth_events.parquet"":""f18a492c6b69d2651567f4a6e214a79c4dbf2f4db30d66d0faa16aca4ffabf68"",""truth_household_memberships.parquet"":""c147ebc4a6461627cc534a038dd47b58f4034c6d8fc16ea2cf5767b6257da6da"",""truth_households.parquet"":""f8420fbe06c7252b8e96ee96fb91154732decea93a9e93c409e49b4946cd2563"",""truth_people.parquet"":""d85f8b2849c05ed2725a6f667813e575ea3fc79bba4b77a7643ca5823e4e7099"",""truth_residence_history.parquet"":""b69ddf9c74d144377b445cafc15c9d3069c1bda4838ece5214f64024d393f6ac""}",[],paper_experiments/results/E1_multiseed/configs/e1_clean_s20260720.yaml,phase2/runs/2026-07-22_e1_clean_s20260720_seed20260720,"SHA-256 of sorted UTF-8 name-NUL-fileSHA256-NUL entries for truth_people.parquet, truth_households.parquet, truth_household_memberships.parquet, truth_residence_history.parquet, truth_events.parquet, entity_record_map.csv"
Table I,Clean,E1,clean,20260721,paper_experiments/results/E1_multiseed/configs/e1_clean_s20260721.yaml,9e70800421c5f2a676205f7db31a8d0bbadce88f45b4a6ad4674d857d2d66b86,bc1b5efcc7574e0dae03043ce53e631816bd6914ccfcbf39fc493c066f206f36,"{""entity_record_map.csv"":""79c3b3970e78f1cee04eaecb1b38ed8c896a806818a630f48b7d74f08d2003ab"",""truth_events.parquet"":""f83f1bb08010fc55b1de114587d559a1789d7e9f3e141995467b6f70782e4264"",""truth_household_memberships.parquet"":""270dd4f3e1dc156b475a8845b6eda557ad6257619232ab76b5593f85e0bbd5f5"",""truth_households.parquet"":""914d45267da2340a867cc9e2a3bed63b9c380b1c0626bbc4ed5c9a567976bc6c"",""truth_people.parquet"":""ab9759f657cf66e1435a3f17a14b5914ab67079c6b9a8e1c585163755341f4d1"",""truth_residence_history.parquet"":""563c3db9d144241a37c2b7d1efdf94afd013b4905479c2a7304041a007d6a3fb""}",[],paper_experiments/results/E1_multiseed/configs/e1_clean_s20260721.yaml,phase2/runs/2026-07-22_e1_clean_s20260721_seed20260721,"SHA-256 of sorted UTF-8 name-NUL-fileSHA256-NUL entries for truth_people.parquet, truth_households.parquet, truth_household_memberships.parquet, truth_residence_history.parquet, truth_events.parquet, entity_record_map.csv"
Table I,Clean,E1,clean,20260722,paper_experiments/results/E1_multiseed/configs/e1_clean_s20260722.yaml,ae5027ab8598610544fc6e1105fbdaa9046d1d82dcc5eb249ffb3a852ccbf59b,457948b5e1ec283f463f75e8f66cfc019b3aba0ea28d43507503eed96a82a9db,"{""entity_record_map.csv"":""a84df9f115956cd8459986b7e067f03b4e40eaf29f4c22cd1a2194f26eb3bd8e"",""truth_events.parquet"":""f2c64eafd7f41b7778317eec1838d827dd5cbda8c025e4f11d5d6718fdea50ee"",""truth_household_memberships.parquet"":""ea276892e18a33e47cc20877600bd412cebd7d2d8df883371481a6a7eaf59d94"",""truth_households.parquet"":""3fb93de31dea2e3d4bd57bc6b37553bdd565e4b7bdfc38430ed3252f47d0aaa1"",""truth_people.parquet"":""558258989032edfc980839c70ceedee9eec8d57eea93318b5599664220f46630"",""truth_residence_history.parquet"":""18bd0fb4cf7a7ccc52fe907f12ada4dbb8a770a6c1e90ab91cbc97331a8b99d1""}",[],paper_experiments/results/E1_multiseed/configs/e1_clean_s20260722.yaml,phase2/runs/2026-07-22_e1_clean_s20260722_seed20260722,"SHA-256 of sorted UTF-8 name-NUL-fileSHA256-NUL entries for truth_people.parquet, truth_households.parquet, truth_household_memberships.parquet, truth_residence_history.parquet, truth_events.parquet, entity_record_map.csv"
Table I,Clean,E1,clean,20260723,paper_experiments/results/E1_multiseed/configs/e1_clean_s20260723.yaml,293c280553314d37f284536844b78bd9bf908fff9425c91a1af2498683a3c6ac,82d3e7dd70117934ada428a49b65ed5361972d6c3ad9077bdaf963c3f3025087,"{""entity_record_map.csv"":""6d86e4e98fbd34be6f4234d810d53222584e573b7d49e42d88a06bd910597329"",""truth_events.parquet"":""bfcdba2e8628e16fdfdbf9b80fe23501a1faf305b8bb96af71dcbbd6fbb389c6"",""truth_household_memberships.parquet"":""061733bbbdc2f6c98591c62af5223befe3e004b66e42001c4d9553e032c6f6b0"",""truth_households.parquet"":""59731da113147c81b769aef692b0faaf3b2be6cfeda7d0e2c357b8ba0d51426f"",""truth_people.parquet"":""f61f56fa8ec88418b756fd54c769bfcb372b18e3f7501bcba596ac7bf3335495"",""truth_residence_history.parquet"":""6f18528e0a5a5b9893d2c78efeb1b7aed802adf43de0322cd1bbb04a4539a9be""}",[],paper_experiments/results/E1_multiseed/configs/e1_clean_s20260723.yaml,phase2/runs/2026-07-22_e1_clean_s20260723_seed20260723,"SHA-256 of sorted UTF-8 name-NUL-fileSHA256-NUL entries for truth_people.parquet, truth_households.parquet, truth_household_memberships.parquet, truth_residence_history.parquet, truth_events.parquet, entity_record_map.csv"
Table I,Clean,E1,clean,20260724,paper_experiments/results/E1_multiseed/configs/e1_clean_s20260724.yaml,1a03082d394278534834e09c6e13ec20f2fcf2270fe14ef79494708349200135,257ff0227946a93b144413b0382d5322fa97f72ee38993f43fff2c745e940af3,"{""entity_record_map.csv"":""3b1a4cb03f50c1e38f9147b4c32e7b5555bf7768fe63b383fb65c06d83d1b542"",""truth_events.parquet"":""01c67926f6317e7a881341b48a024f06c6031067edf5e59de3b3d2da86a9dd0f"",""truth_household_memberships.parquet"":""62b52f774bc81a4599932fcd90bedfe0ff51d9797cb565becf08bc41288cff83"",""truth_households.parquet"":""0b7bf85ebff945d492582a8ca3a716b9ff8a4bc00550e98e31cc4b3cd5ed2251"",""truth_people.parquet"":""da47a51ca61eb5b60f47e68c61fc5be28e15d4d23494e793a383c054285b4e4d"",""truth_residence_history.parquet"":""fa49711dee08482361bc02ff23fdb0439b9aa1e1824bd6b7e081d36cef61f724""}",[],paper_experiments/results/E1_multiseed/configs/e1_clean_s20260724.yaml,phase2/runs/2026-07-22_e1_clean_s20260724_seed20260724,"SHA-256 of sorted UTF-8 name-NUL-fileSHA256-NUL entries for truth_people.parquet, truth_households.parquet, truth_household_memberships.parquet, truth_residence_history.parquet, truth_events.parquet, entity_record_map.csv"
Table I,Clean,E1,clean,20260725,paper_experiments/results/E1_multiseed/configs/e1_clean_s20260725.yaml,a5876fb042ae658c4fe7afe9647c9e679bb3dcf2a5ca1c3dcdc64b424eb33e9b,2718ad595dbadca1dbd8996553cfb8aea814b95d3bc0d74575c597dc44fdbbc6,"{""entity_record_map.csv"":""4545c545bb14184c6d482197dd363e3ce0d265cef1e100a31cca3b1b12795b2c"",""truth_events.parquet"":""dd4c7de489176d4c75f54c498b2cb1ede8bf3e053fc992108b920db6845fa0bd"",""truth_household_memberships.parquet"":""d69ff445200c9f2394748876b3d1d4d68c767ea5f88078e09d59b2bc5f619f07"",""truth_households.parquet"":""b5b5fff7c5eaceb3815fb9b4c86536d41b7047333c873ba37fbb0bd626ed9d08"",""truth_people.parquet"":""a1c12abbcf8f1bf229f4e38e4d64f8fc6fe1a39ddcbff9bcdd90de0a9a9a0dc4"",""truth_residence_history.parquet"":""92b449cc3b6971abbe0bdf343cff7283be6b8c2d0e44539159d28854e21bace6""}",[],paper_experiments/results/E1_multiseed/configs/e1_clean_s20260725.yaml,phase2/runs/2026-07-22_e1_clean_s20260725_seed20260725,"SHA-256 of sorted UTF-8 name-NUL-fileSHA256-NUL entries for truth_people.parquet, truth_households.parquet, truth_household_memberships.parquet, truth_residence_history.parquet, truth_events.parquet, entity_record_map.csv"
Table I,Clean,E1,clean,20260726,paper_experiments/results/E1_multiseed/configs/e1_clean_s20260726.yaml,6d6afada4332b48ec8aba32a71e46b928498db4596137d325041450a04bad869,384592f2f1c58a67f4921daadddf40cdb63d1f447323aa7ee5f42bac51bd0232,"{""entity_record_map.csv"":""228b5d339e59d7bd94ee4481b2f5195dc8118320fb5344ef266127c6642c21c2"",""truth_events.parquet"":""0ed3b30c59d2cfadd39daa2c8831fc4a955b63ca5f09196c6ac176e8ce5a26e9"",""truth_household_memberships.parquet"":""36cb3bb370fc8b5308db73c4a76bde15681fa2730d9f63bb468011bfba1ea415"",""truth_households.parquet"":""0371a698e9512d741a2fb5ccceb90706af24d2688a09fe300bb7c11d486d2bc9"",""truth_people.parquet"":""eededf0d02477898f52ac79cee96e2c2ea1e20a54c8642f3c1987b9d6f73a813"",""truth_residence_history.parquet"":""fe5484790c77f88d529e9dfc8b501701bfa18eb3792a7ac3914a5c7306cfeba2""}",[],paper_experiments/results/E1_multiseed/configs/e1_clean_s20260726.yaml,phase2/runs/2026-07-22_e1_clean_s20260726_seed20260726,"SHA-256 of sorted UTF-8 name-NUL-fileSHA256-NUL entries for truth_people.parquet, truth_households.parquet, truth_household_memberships.parquet, truth_residence_history.parquet, truth_events.parquet, entity_record_map.csv"
Table I,Clean,E1,clean,20260727,paper_experiments/results/E1_multiseed/configs/e1_clean_s20260727.yaml,71a79f1b44702ef40673acf4aebe0b6a0cd98d30afe6816b19c8ce7d1762a9fc,4bdc85eefa15c1c3a56a41029acd050b166cdaf70c27cba0317010ef8a917013,"{""entity_record_map.csv"":""c4be33d985e8942c1b60d07013ba15ae0ff521ad7b3d3d0399416a609f56fc60"",""truth_events.parquet"":""65639c30c4670339cd6e0b95133c0a1af36a5501019713ce9fc787d01d90f9c2"",""truth_household_memberships.parquet"":""7338e3e4c873bdd828cd1f9c70676c2c57acd476c5955fa7c5fa91a55e6d2b45"",""truth_households.parquet"":""408e89b11b86043a13aea4596a16c5526ad7ae7bf1ab6beb9c46d15fab3515b1"",""truth_people.parquet"":""2472bc128339f1d2165d217104b242e79066afe3bb091b75f0cfd79d70b68e07"",""truth_residence_history.parquet"":""8ef56e001ab24b0d2fd4f95263c99a017867bc1efbe98a833156919e621dd864""}",[],paper_experiments/results/E1_multiseed/configs/e1_clean_s20260727.yaml,phase2/runs/2026-07-22_e1_clean_s20260727_seed20260727,"SHA-256 of sorted UTF-8 name-NUL-fileSHA256-NUL entries for truth_people.parquet, truth_households.parquet, truth_household_memberships.parquet, truth_residence_history.parquet, truth_events.parquet, entity_record_map.csv"
Table I,Clean,E1,clean,20260728,paper_experiments/results/E1_multiseed/configs/e1_clean_s20260728.yaml,a32058a1571d4245a79095545d28e1c050b0982fbca807e1c37e682fb7f64e64,a2be96fb62bef03f4df127ad8ce87dac558ee84b1f9adfd3dba0aab29d24635d,"{""entity_record_map.csv"":""47d554ead24a73583219760627b469604780812a554bb7b704d37b32d6b0bb93"",""truth_events.parquet"":""a4ddf1b021a435b633e9297b4cc342d49175f280408d356ab12011bd0b392a4b"",""truth_household_memberships.parquet"":""05d33ee7494ca9f5c698d37c0a676ae13381fd5e4bd731b6a22cf2cb98135b95"",""truth_households.parquet"":""5c8c752fac700514ac5741110d97e910b75f73b202aa03ce5d15d52e9aa134d4"",""truth_people.parquet"":""34b0b600ccc5e867e5dda49d749e16728d2dafa9cdfbd86873f518cea99c92f8"",""truth_residence_history.parquet"":""49e2d5a7d78fa5b9078382896e8c00739ed08a06e2e2025153aa55cd97a9f204""}",[],paper_experiments/results/E1_multiseed/configs/e1_clean_s20260728.yaml,phase2/runs/2026-07-22_e1_clean_s20260728_seed20260728,"SHA-256 of sorted UTF-8 name-NUL-fileSHA256-NUL entries for truth_people.parquet, truth_households.parquet, truth_household_memberships.parquet, truth_residence_history.parquet, truth_events.parquet, entity_record_map.csv"
Table I,Clean,E1,clean,20260729,paper_experiments/results/E1_multiseed/configs/e1_clean_s20260729.yaml,7fb20eb7b9f97b48f39f0a8ee22ac78e58e6fdff8f2144a49549c6d5dc80585e,329545e59086f91a99a77e60c311a3ab106ff473bf35208c46d87ada10a95cba,"{""entity_record_map.csv"":""f8ccab71d5dcdb3ba15771ac76f328ceca5d7b1045fbaed2016c4ad73aac1c86"",""truth_events.parquet"":""85e74d4fc08185fb4098d09f16a89c53b6de6df3d40f4b92ac471f66744268ab"",""truth_household_memberships.parquet"":""b0c1f16ef559b58c0c20f1f1a4946c22d518f8833ebabd78db14911a4aed1aec"",""truth_households.parquet"":""b6119b7aeef680d081b6f9469f020977aa31b7fb2ceae8de0d2567e72b9d68c9"",""truth_people.parquet"":""5835c9850e59c569baa4159413fee69de804850daaef70d7b33b39d673896133"",""truth_residence_history.parquet"":""1e5c85cb7a9a5e41e1a2cb2da1090a1359a5f5336fc761e2d8cb3503c92e4db9""}",[],paper_experiments/results/E1_multiseed/configs/e1_clean_s20260729.yaml,phase2/runs/2026-07-22_e1_clean_s20260729_seed20260729,"SHA-256 of sorted UTF-8 name-NUL-fileSHA256-NUL entries for truth_people.parquet, truth_households.parquet, truth_household_memberships.parquet, truth_residence_history.parquet, truth_events.parquet, entity_record_map.csv"
Table I,High noise,E1,high_noise,20260720,paper_experiments/results/E1_multiseed/configs/e1_high_noise_s20260720.yaml,69b6fbf730106d7a3a37c3606d2ee06223f450bd691203f2148187c5161604e2,8bc715cf035571d7232541148228c8375f1a16ae74d1a03f88e0a5974493222e,"{""entity_record_map.csv"":""e1028c7070853642793c6f35d6288242ac72e345c5d91f1d04b3efc51d082b4c"",""truth_events.parquet"":""f18a492c6b69d2651567f4a6e214a79c4dbf2f4db30d66d0faa16aca4ffabf68"",""truth_household_memberships.parquet"":""c147ebc4a6461627cc534a038dd47b58f4034c6d8fc16ea2cf5767b6257da6da"",""truth_households.parquet"":""f8420fbe06c7252b8e96ee96fb91154732decea93a9e93c409e49b4946cd2563"",""truth_people.parquet"":""d85f8b2849c05ed2725a6f667813e575ea3fc79bba4b77a7643ca5823e4e7099"",""truth_residence_history.parquet"":""b69ddf9c74d144377b445cafc15c9d3069c1bda4838ece5214f64024d393f6ac""}","[{""current"":3.0,""path"":""emission.noise.B.address_missing_pct"",""reference"":0.2},{""current"":6.0,""path"":""emission.noise.B.date_swap_pct"",""reference"":0.0},{""current"":3.0,""path"":""emission.noise.B.dob_shift_pct"",""reference"":0.2},{""current"":35.0,""path"":""emission.noise.B.middle_name_missing_pct"",""reference"":8.0},{""current"":9.0,""path"":""emission.noise.B.name_typo_pct"",""reference"":0.5},{""current"":12.0,""path"":""emission.noise.B.nickname_pct"",""reference"":0.0},{""current"":8.0,""path"":""emission.noise.B.ocr_error_pct"",""reference"":0.0},{""current"":4.0,""path"":""emission.noise.B.phone_mask_pct"",""reference"":0.2},{""current"":8.0,""path"":""emission.noise.B.phonetic_error_pct"",""reference"":0.0},{""current"":6.0,""path"":""emission.noise.B.ssn_mask_pct"",""reference"":0.5},{""current"":10.0,""path"":""emission.noise.B.suffix_missing_pct"",""reference"":0.0},{""current"":7.0,""path"":""emission.noise.B.zip_digit_error_pct"",""reference"":0.2}]",paper_experiments/results/E1_multiseed/configs/e1_clean_s20260720.yaml,phase2/runs/2026-07-22_e1_high_noise_s20260720_seed20260720,"SHA-256 of sorted UTF-8 name-NUL-fileSHA256-NUL entries for truth_people.parquet, truth_households.parquet, truth_household_memberships.parquet, truth_residence_history.parquet, truth_events.parquet, entity_record_map.csv"
Table I,High noise,E1,high_noise,20260721,paper_experiments/results/E1_multiseed/configs/e1_high_noise_s20260721.yaml,cd71812ab08bfa7fb59dfdea9fc246c9db26473872128f876235d2c70ec7b4c1,bc1b5efcc7574e0dae03043ce53e631816bd6914ccfcbf39fc493c066f206f36,"{""entity_record_map.csv"":""79c3b3970e78f1cee04eaecb1b38ed8c896a806818a630f48b7d74f08d2003ab"",""truth_events.parquet"":""f83f1bb08010fc55b1de114587d559a1789d7e9f3e141995467b6f70782e4264"",""truth_household_memberships.parquet"":""270dd4f3e1dc156b475a8845b6eda557ad6257619232ab76b5593f85e0bbd5f5"",""truth_households.parquet"":""914d45267da2340a867cc9e2a3bed63b9c380b1c0626bbc4ed5c9a567976bc6c"",""truth_people.parquet"":""ab9759f657cf66e1435a3f17a14b5914ab67079c6b9a8e1c585163755341f4d1"",""truth_residence_history.parquet"":""563c3db9d144241a37c2b7d1efdf94afd013b4905479c2a7304041a007d6a3fb""}","[{""current"":3.0,""path"":""emission.noise.B.address_missing_pct"",""reference"":0.2},{""current"":6.0,""path"":""emission.noise.B.date_swap_pct"",""reference"":0.0},{""current"":3.0,""path"":""emission.noise.B.dob_shift_pct"",""reference"":0.2},{""current"":35.0,""path"":""emission.noise.B.middle_name_missing_pct"",""reference"":8.0},{""current"":9.0,""path"":""emission.noise.B.name_typo_pct"",""reference"":0.5},{""current"":12.0,""path"":""emission.noise.B.nickname_pct"",""reference"":0.0},{""current"":8.0,""path"":""emission.noise.B.ocr_error_pct"",""reference"":0.0},{""current"":4.0,""path"":""emission.noise.B.phone_mask_pct"",""reference"":0.2},{""current"":8.0,""path"":""emission.noise.B.phonetic_error_pct"",""reference"":0.0},{""current"":6.0,""path"":""emission.noise.B.ssn_mask_pct"",""reference"":0.5},{""current"":10.0,""path"":""emission.noise.B.suffix_missing_pct"",""reference"":0.0},{""current"":7.0,""path"":""emission.noise.B.zip_digit_error_pct"",""reference"":0.2}]",paper_experiments/results/E1_multiseed/configs/e1_clean_s20260721.yaml,phase2/runs/2026-07-22_e1_high_noise_s20260721_seed20260721,"SHA-256 of sorted UTF-8 name-NUL-fileSHA256-NUL entries for truth_people.parquet, truth_households.parquet, truth_household_memberships.parquet, truth_residence_history.parquet, truth_events.parquet, entity_record_map.csv"
