row_type,comparison_id,comparison_label,scenario,seed,left_quantity,right_quantity,difference_definition,left_value,right_value,paired_difference,clean_f1,high_noise_f1,n,mean_difference,sd_paired_differences,ci95_low,ci95_high,holm_family,paired_t_statistic,paired_t_p_value,wilcoxon_statistic,wilcoxon_p_value,sign_positive_count,sign_negative_count,sign_zero_count,sign_nonzero_count,exact_sign_p_value,paired_t_holm_p_value,wilcoxon_holm_p_value,exact_sign_holm_p_value,source_filename
per_seed,E1_clean_minus_high_noise,E1 clean versus high noise,E1,20260720,clean_f1,high_noise_f1,clean_f1 - high_noise_f1,0.9981591542628728,0.9762915972259556,0.02186755703691723,0.9981591542628728,0.9762915972259556,,,,,,,,,,,,,,,,,,,paper_experiments/results/E2_E6/E4/e1_e4_e5_per_run.csv
per_seed,E1_clean_minus_high_noise,E1 clean versus high noise,E1,20260721,clean_f1,high_noise_f1,clean_f1 - high_noise_f1,0.998687870676534,0.9785205420750978,0.02016732860143622,0.998687870676534,0.9785205420750978,,,,,,,,,,,,,,,,,,,paper_experiments/results/E2_E6/E4/e1_e4_e5_per_run.csv
per_seed,E1_clean_minus_high_noise,E1 clean versus high noise,E1,20260722,clean_f1,high_noise_f1,clean_f1 - high_noise_f1,0.9984281672430052,0.9756175981994534,0.02281056904355183,0.9984281672430052,0.9756175981994534,,,,,,,,,,,,,,,,,,,paper_experiments/results/E2_E6/E4/e1_e4_e5_per_run.csv
per_seed,E1_clean_minus_high_noise,E1 clean versus high noise,E1,20260723,clean_f1,high_noise_f1,clean_f1 - high_noise_f1,0.9988453867954236,0.9771557271557272,0.02168965963969638,0.9988453867954236,0.9771557271557272,,,,,,,,,,,,,,,,,,,paper_experiments/results/E2_E6/E4/e1_e4_e5_per_run.csv
per_seed,E1_clean_minus_high_noise,E1 clean versus high noise,E1,20260724,clean_f1,high_noise_f1,clean_f1 - high_noise_f1,0.999000052628809,0.9791185785603091,0.019881474068499827,0.999000052628809,0.9791185785603091,,,,,,,,,,,,,,,,,,,paper_experiments/results/E2_E6/E4/e1_e4_e5_per_run.csv
per_seed,E1_clean_minus_high_noise,E1 clean versus high noise,E1,20260725,clean_f1,high_noise_f1,clean_f1 - high_noise_f1,0.9984240386635848,0.9775799184724308,0.020844120191154003,0.9984240386635848,0.9775799184724308,,,,,,,,,,,,,,,,,,,paper_experiments/results/E2_E6/E4/e1_e4_e5_per_run.csv
per_seed,E1_clean_minus_high_noise,E1 clean versus high noise,E1,20260726,clean_f1,high_noise_f1,clean_f1 - high_noise_f1,0.9989488068958268,0.9772238934250108,0.021724913470815954,0.9989488068958268,0.9772238934250108,,,,,,,,,,,,,,,,,,,paper_experiments/results/E2_E6/E4/e1_e4_e5_per_run.csv
per_seed,E1_clean_minus_high_noise,E1 clean versus high noise,E1,20260727,clean_f1,high_noise_f1,clean_f1 - high_noise_f1,0.9987381703470032,0.9776656286910768,0.021072541655926424,0.9987381703470032,0.9776656286910768,,,,,,,,,,,,,,,,,,,paper_experiments/results/E2_E6/E4/e1_e4_e5_per_run.csv
per_seed,E1_clean_minus_high_noise,E1 clean versus high noise,E1,20260728,clean_f1,high_noise_f1,clean_f1 - high_noise_f1,0.9985802176999526,0.9780496967745398,0.020530520925412854,0.9985802176999526,0.9780496967745398,,,,,,,,,,,,,,,,,,,paper_experiments/results/E2_E6/E4/e1_e4_e5_per_run.csv
per_seed,E1_clean_minus_high_noise,E1 clean versus high noise,E1,20260729,clean_f1,high_noise_f1,clean_f1 - high_noise_f1,0.998842105263158,0.9771419351368796,0.02170017012627834,0.998842105263158,0.9771419351368796,,,,,,,,,,,,,,,,,,,paper_experiments/results/E2_E6/E4/e1_e4_e5_per_run.csv
summary,E1_clean_minus_high_noise,E1 clean versus high noise,E1,,clean_f1,high_noise_f1,clean_f1 - high_noise_f1,,,,,,10.0,0.021228885475968906,0.0008939743566268167,0.02058937474617943,0.02186839620575838,,75.09346302083368,6.662209447886e-14,0.0,0.001953125,10.0,0.0,0.0,10.0,0.001953125,,,,paper_experiments/results/E2_E6/E4/e1_e4_e5_per_run.csv
per_seed,E2_clean_baseline_linkage_learned_minus_baseline,clean_baseline_linkage: learned versus baseline,clean_baseline_linkage,20260720,learned_f1,baseline_f1,learned_f1 - baseline_f1,0.9997898718218112,0.9991070959609224,0.000682775860888829,,,,,,,,,,,,,,,,,,,,,paper_experiments/results/E2_E6/E2/e2_per_run_metrics.csv
per_seed,E2_clean_baseline_linkage_learned_minus_baseline,clean_baseline_linkage: learned versus baseline,clean_baseline_linkage,20260721,learned_f1,baseline_f1,learned_f1 - baseline_f1,0.9999474596753009,0.9992120607238536,0.0007353989514472525,,,,,,,,,,,,,,,,,,,,,paper_experiments/results/E2_E6/E2/e2_per_run_metrics.csv
per_seed,E2_clean_baseline_linkage_learned_minus_baseline,clean_baseline_linkage: learned versus baseline,clean_baseline_linkage,20260722,learned_f1,baseline_f1,learned_f1 - baseline_f1,0.9995806248689452,0.9991090613699491,0.00047156349899601935,,,,,,,,,,,,,,,,,,,,,paper_experiments/results/E2_E6/E2/e2_per_run_metrics.csv
per_seed,E2_clean_baseline_linkage_learned_minus_baseline,clean_baseline_linkage: learned versus baseline,clean_baseline_linkage,20260723,learned_f1,baseline_f1,learned_f1 - baseline_f1,0.9997373811649772,0.9990021532482538,0.0007352279167234244,,,,,,,,,,,,,,,,,,,,,paper_experiments/results/E2_E6/E2/e2_per_run_metrics.csv
per_seed,E2_clean_baseline_linkage_learned_minus_baseline,clean_baseline_linkage: learned versus baseline,clean_baseline_linkage,20260724,learned_f1,baseline_f1,learned_f1 - baseline_f1,1.0,0.9996319857000155,0.0003680142999844538,,,,,,,,,,,,,,,,,,,,,paper_experiments/results/E2_E6/E2/e2_per_run_metrics.csv
per_seed,E2_clean_baseline_linkage_learned_minus_baseline,clean_baseline_linkage: learned versus baseline,clean_baseline_linkage,20260725,learned_f1,baseline_f1,learned_f1 - baseline_f1,0.999632449461801,0.9990024675801964,0.0006299818816045688,,,,,,,,,,,,,,,,,,,,,paper_experiments/results/E2_E6/E2/e2_per_run_metrics.csv
per_seed,E2_clean_baseline_linkage_learned_minus_baseline,clean_baseline_linkage: learned versus baseline,clean_baseline_linkage,20260726,learned_f1,baseline_f1,learned_f1 - baseline_f1,0.9995270376793316,0.9990014190361066,0.0005256186432249788,,,,,,,,,,,,,,,,,,,,,paper_experiments/results/E2_E6/E2/e2_per_run_metrics.csv
per_seed,E2_clean_baseline_linkage_learned_minus_baseline,clean_baseline_linkage: learned versus baseline,clean_baseline_linkage,20260727,learned_f1,baseline_f1,learned_f1 - baseline_f1,0.9998424617969858,0.9994749002310438,0.0003675615659419762,,,,,,,,,,,,,,,,,,,,,paper_experiments/results/E2_E6/E2/e2_per_run_metrics.csv
per_seed,E2_clean_baseline_linkage_learned_minus_baseline,clean_baseline_linkage: learned versus baseline,clean_baseline_linkage,20260728,learned_f1,baseline_f1,learned_f1 - baseline_f1,0.9997896065642752,0.9990008939370038,0.0007887126272714262,,,,,,,,,,,,,,,,,,,,,paper_experiments/results/E2_E6/E2/e2_per_run_metrics.csv
per_seed,E2_clean_baseline_linkage_learned_minus_baseline,clean_baseline_linkage: learned versus baseline,clean_baseline_linkage,20260729,learned_f1,baseline_f1,learned_f1 - baseline_f1,0.9998422630001575,0.9991063449508488,0.0007359180493087258,,,,,,,,,,,,,,,,,,,,,paper_experiments/results/E2_E6/E2/e2_per_run_metrics.csv
summary,E2_clean_baseline_linkage_learned_minus_baseline,clean_baseline_linkage: learned versus baseline,clean_baseline_linkage,,learned_f1,baseline_f1,learned_f1 - baseline_f1,,,,,,10.0,0.0006040773295391654,0.00015922159931909075,0.0004901770588837455,0.0007179776001945854,all 28 Table II matcher contrasts,11.997494387602437,7.713594943007255e-07,0.0,0.001953125,10.0,0.0,0.0,10.0,0.001953125,5.392761726302765e-06,0.0546875,0.0546875,paper_experiments/results/E2_E6/E2/e2_per_run_metrics.csv
per_seed,E2_clean_baseline_linkage_baseline_minus_splink,clean_baseline_linkage: baseline versus splink,clean_baseline_linkage,20260720,baseline_f1,splink_f1,baseline_f1 - splink_f1,0.9991070959609224,0.9975352666631706,0.0015718292977517923,,,,,,,,,,,,,,,,,,,,,paper_experiments/results/E2_E6/E2/e2_per_run_metrics.csv
per_seed,E2_clean_baseline_linkage_baseline_minus_splink,clean_baseline_linkage: baseline versus splink,clean_baseline_linkage,20260721,baseline_f1,splink_f1,baseline_f1 - splink_f1,0.9992120607238536,0.9975875812880218,0.0016244794358317716,,,,,,,,,,,,,,,,,,,,,paper_experiments/results/E2_E6/E2/e2_per_run_metrics.csv
per_seed,E2_clean_baseline_linkage_baseline_minus_splink,clean_baseline_linkage: baseline versus splink,clean_baseline_linkage,20260722,baseline_f1,splink_f1,baseline_f1 - splink_f1,0.9991090613699491,0.997122979547,0.001986081822949126,,,,,,,,,,,,,,,,,,,,,paper_experiments/results/E2_E6/E2/e2_per_run_metrics.csv
per_seed,E2_clean_baseline_linkage_baseline_minus_splink,clean_baseline_linkage: baseline versus splink,clean_baseline_linkage,20260723,baseline_f1,splink_f1,baseline_f1 - splink_f1,0.9990021532482538,0.9979537226507162,0.001048430597537564,,,,,,,,,,,,,,,,,,,,,paper_experiments/results/E2_E6/E2/e2_per_run_metrics.csv
per_seed,E2_clean_baseline_linkage_baseline_minus_splink,clean_baseline_linkage: baseline versus splink,clean_baseline_linkage,20260724,baseline_f1,splink_f1,baseline_f1 - splink_f1,0.9996319857000155,0.9974816369359916,0.0021503487640239793,,,,,,,,,,,,,,,,,,,,,paper_experiments/results/E2_E6/E2/e2_per_run_metrics.csv
per_seed,E2_clean_baseline_linkage_baseline_minus_splink,clean_baseline_linkage: baseline versus splink,clean_baseline_linkage,20260725,baseline_f1,splink_f1,baseline_f1 - splink_f1,0.9990024675801964,0.9975360419397116,0.0014664256404848253,,,,,,,,,,,,,,,,,,,,,paper_experiments/results/E2_E6/E2/e2_per_run_metrics.csv
per_seed,E2_clean_baseline_linkage_baseline_minus_splink,clean_baseline_linkage: baseline versus splink,clean_baseline_linkage,20260726,baseline_f1,splink_f1,baseline_f1 - splink_f1,0.9990014190361066,0.9970625262274444,0.0019388928086622181,,,,,,,,,,,,,,,,,,,,,paper_experiments/results/E2_E6/E2/e2_per_run_metrics.csv
per_seed,E2_clean_baseline_linkage_baseline_minus_splink,clean_baseline_linkage: baseline versus splink,clean_baseline_linkage,20260727,baseline_f1,splink_f1,baseline_f1 - splink_f1,0.9994749002310438,0.9973800041919934,0.0020948960390504423,,,,,,,,,,,,,,,,,,,,,paper_experiments/results/E2_E6/E2/e2_per_run_metrics.csv
per_seed,E2_clean_baseline_linkage_baseline_minus_splink,clean_baseline_linkage: baseline versus splink,clean_baseline_linkage,20260728,baseline_f1,splink_f1,baseline_f1 - splink_f1,0.9990008939370038,0.9973226941046774,0.0016781998323263103,,,,,,,,,,,,,,,,,,,,,paper_experiments/results/E2_E6/E2/e2_per_run_metrics.csv
per_seed,E2_clean_baseline_linkage_baseline_minus_splink,clean_baseline_linkage: baseline versus splink,clean_baseline_linkage,20260729,baseline_f1,splink_f1,baseline_f1 - splink_f1,0.9991063449508488,0.9974284964576228,0.001677848493226053,,,,,,,,,,,,,,,,,,,,,paper_experiments/results/E2_E6/E2/e2_per_run_metrics.csv
summary,E2_clean_baseline_linkage_baseline_minus_splink,clean_baseline_linkage: baseline versus splink,clean_baseline_linkage,,baseline_f1,splink_f1,baseline_f1 - splink_f1,,,,,,10.0,0.0017237432731844083,0.0003323700636491402,0.0014859800528092117,0.0019615064935596047,all 28 Table II matcher contrasts,16.4002581484317,5.184716718008446e-08,0.0,0.001953125,10.0,0.0,0.0,10.0,0.001953125,6.221660061610134e-07,0.0546875,0.0546875,paper_experiments/results/E2_E6/E2/e2_per_run_metrics.csv
