scenario,matcher,n_seeds,f1_mean,f1_sd,b3_f1_mean,b3_f1_sd,candidate_recall_mean
adoption_blended_family,baseline,10,0.8460481758729547,0.0005027309240512053,0.9276858607829823,0.0002960625383279593,1.0
adoption_blended_family,learned,10,0.8547041623587646,0.0007268973463031052,0.9323157491467041,0.0003222533541473683,1.0
adoption_blended_family,splink,10,0.7391133008020859,0.0008831524900060072,0.8469338145194302,0.0004607862341534099,1.0
asymmetric_source_coverage,baseline,10,0.9970080371068066,0.000836295083543455,0.9946038108591422,0.00044560916952152336,0.9999040993477284
asymmetric_source_coverage,learned,10,0.9989678789007892,0.00037214186798383,0.9951954246301922,0.0003278473144358812,0.9999040993477284
asymmetric_source_coverage,splink,10,0.9944522980607896,0.0009852490995265173,0.9936782046705422,0.000462488207394997,0.9999040993477284
clean_baseline_linkage,baseline,10,0.9991648382738194,0.00021931105610331595,0.9992932538879105,0.0001488869554396761,1.0
clean_baseline_linkage,learned,10,0.9997689156033586,0.00015293786158646728,0.9996018280350203,0.00010648922458963274,1.0
clean_baseline_linkage,splink,10,0.9974410950006349,0.00025081944635620097,0.9984259248247878,0.000136011813175023,1.0
couple_merge,baseline,10,0.8702410481094722,0.0030508068840371374,0.9183829749733625,0.002011673853746619,0.9981070745697898
couple_merge,learned,10,0.8870903388540862,0.002373673269523551,0.9302832950768097,0.001491245883415889,0.9981070745697898
couple_merge,splink,10,0.8591022072628004,0.003161279781514386,0.9132686533878,0.0020460714987204586,0.9981070745697898
death_survivor_persistence,baseline,10,0.9996613358179754,0.00047592189268704877,0.9998304286357094,0.0002383392497349393,1.0
death_survivor_persistence,learned,10,0.9998306041784304,0.0002727531855108027,0.9999152302910426,0.00013649219879615336,1.0
death_survivor_persistence,splink,10,0.9982523133690148,0.0008580668279922264,0.9991233590464024,0.00043119995150093913,1.0
divorce_custody,baseline,10,0.9910110884906101,0.0007945421803857805,0.9942591504700887,0.000533564506855766,0.9994103203729997
divorce_custody,learned,10,0.9939857947685482,0.0006438585416104305,0.9960542126761321,0.00043900621817518205,0.9994103203729997
divorce_custody,splink,10,0.9875208680824457,0.0007478080853728756,0.9912230379566296,0.0006823400140854725,0.9994103203729997
family_birth,baseline,10,0.932342579439297,0.00271392068153668,0.9623652188430825,0.0015032377223492153,0.9978470588235295
family_birth,learned,10,0.9377437679400307,0.002818363837943853,0.9653302602571822,0.001547445245309796,0.9978470588235295
family_birth,splink,10,0.8838616789314445,0.0037034413524117712,0.9348674277291311,0.0021274229621627543,0.9978470588235295
high_duplication_dedup,baseline,10,0.9960222095833455,0.000523409697900246,0.9987427975671916,0.00017258882487545364,0.999166889857209
high_duplication_dedup,learned,10,0.9982635875454828,0.0004650799075164932,0.9994431837525412,0.00010867093984109162,0.999166889857209
high_duplication_dedup,splink,10,0.992522459680756,0.0005886431630734205,0.9971357445065241,0.00031826762347124366,0.999166889857209
high_noise_identity_drift,baseline,10,0.9807291641861351,0.001094845648652681,0.990973392081991,0.000501459333247715,0.9972522994681304
high_noise_identity_drift,learned,10,0.9931342335373097,0.0006523461940632556,0.9965446903837124,0.00031992054000646984,0.9972522994681304
high_noise_identity_drift,splink,10,0.9783621498029692,0.0012422012521593807,0.9897440774266789,0.0005799754098293233,0.9972522994681304
low_overlap_sparse_coverage,baseline,10,0.9970652654690909,0.0007799055288015679,0.9950630341555554,0.00039222485471361324,1.0
low_overlap_sparse_coverage,learned,10,0.9988221523969806,0.00043374717756485264,0.9954413226529397,0.00032961465016192993,1.0
low_overlap_sparse_coverage,splink,10,0.9940371082334076,0.0010564856407543827,0.99433013066478,0.0004884812528937945,1.0
name_change_lifecycle,baseline,10,0.9998849325567531,9.902373625957841e-05,0.9998976818540456,8.089606315210265e-05,1.0
name_change_lifecycle,learned,10,0.9999360687386935,6.027131063886943e-05,0.9999360540213639,6.029250952036217e-05,1.0
name_change_lifecycle,splink,10,0.9983659089950955,0.00026395489159266276,0.9987644254704975,0.00019593508964512815,1.0
roommates_split,baseline,10,0.9906942469602574,0.0003001968977308158,0.9904226235676173,0.0003992037550918551,0.9997487933833951
roommates_split,learned,10,0.9972148517645083,0.00028388208659537893,0.9950471627395763,0.00034347691383642564,0.9997487933833951
roommates_split,splink,10,0.9888823310437094,0.0005945722362797572,0.9889573011328862,0.0004930753382610457,0.9997487933833951
single_movers,baseline,10,0.9784200556247022,0.0012158443494453136,0.9901687443170865,0.0005525529780123766,0.9997854542773827
single_movers,learned,10,0.9939591297302774,0.0008016834776747674,0.9972416806406599,0.0003654465890161267,0.9997854542773827
single_movers,splink,10,0.977252539505338,0.0012258210078005503,0.9893832489225194,0.000577334157317049,0.9997854542773827
three_source_partial_overlap,baseline,10,0.9979099017716024,0.000195507645518171,0.9982671007340344,0.00016378438163434106,0.9998958754565184
three_source_partial_overlap,learned,10,0.9991261511238978,0.00023288014428161577,0.998842549369833,0.00011561738166625543,0.9998958754565184
three_source_partial_overlap,splink,10,0.9952594034217856,0.00047609842250820496,0.9958348598038029,0.00044051611848040535,0.9998958754565184
