name,number
James,2544998.5
John,2467465.5
Robert,2387445.5
Michael,2211153.0
William,1986385.5
Mary,1882123.5
David,1827150.5
Joseph,1288584.0
Richard,1277751.0
Charles,1158250.0
Thomas,1144248.0
Christopher,1033974.0
Daniel,981443.0
Matthew,822738.5
Elizabeth,791423.0
Patricia,786153.5
Anthony,737963.5
Jennifer,736406.0
Linda,725772.5
Barbara,713752.0
Donald,704260.5
Paul,686762.0
Mark,679196.5
George,677288.0
Andrew,654139.0
Steven,645507.5
Kenneth,638855.5
Joshua,621830.5
Edward,616827.0
Kevin,592080.0
Brian,586792.5
Margaret,572466.5
Susan,555649.0
Ronald,540292.5
Timothy,540277.5
Dorothy,529173.5
Jason,525107.5
Jessica,524793.0
Sarah,523344.5
Nancy,493641.0
Betty,493556.5
Karen,493182.0
Ryan,491988.5
Jeffrey,489484.0
Jacob,486031.5
Lisa,482893.0
Nicholas,459469.5
Helen,451737.5
Gary,450069.5
Eric,443542.0
Emily,437307.5
Sandra,436817.0
Ashley,434068.0
Jonathan,433134.0
Stephen,428820.5
Kimberly,423127.0
Donna,413753.5
Frank,413397.0
Carol,408960.0
Michelle,407969.5
Larry,402521.5
Benjamin,401297.5
Justin,393762.0
Samuel,393154.0
Amanda,389125.5
Scott,385672.0
Brandon,384950.5
Anna,381987.0
Melissa,378342.0
Raymond,378283.0
Laura,377992.5
Ruth,371900.0
Stephanie,371697.5
Rebecca,371665.5
Deborah,369480.0
Jack,365698.0
Alexander,361419.5
Sharon,360380.0
Gregory,354854.0
Cynthia,353716.5
Kathleen,353007.5
Amy,345512.5
Henry,344966.5
Shirley,343627.0
Emma,341690.0
Patrick,338987.0
Angela,334185.5
Virginia,313702.5
Jerry,311425.5
Catherine,310398.5
Katherine,310292.0
Dennis,308025.0
Tyler,307290.5
Aaron,303773.0
Brenda,303206.0
Evelyn,301572.5
Nicole,296427.5
Pamela,296130.0
Samantha,294517.0
Jose,292480.0
Nathan,288523.0
Christine,288397.0
Peter,286996.5
Adam,285977.5
Walter,285782.5
Rachel,281166.5
Douglas,278150.0
Maria,277488.0
Janet,275720.5
Carolyn,275237.5
Kelly,274839.0
Zachary,274331.0
Debra,274040.5
Olivia,273898.5
Frances,269031.0
Willie,267121.5
Jordan,264405.5
Harold,263836.0
Heather,261829.5
Diane,257746.5
Victoria,257587.0
Terry,257350.0
Julie,253783.0
Noah,253562.5
Alice,253133.0
Joyce,252851.0
Arthur,248075.5
Martha,247197.5
Kyle,244176.0
Joan,240468.5
Carl,240161.5
Ethan,238495.5
Lauren,237588.5
Christina,236922.0
Marie,233307.5
Jean,232436.5
Christian,231547.0
Grace,231125.0
Ann,225808.0
Hannah,225050.5
Judith,224976.0
Doris,224975.5
Albert,223174.5
Andrea,222683.5
Lawrence,222407.0
Jeremy,222133.0
Gerald,221945.0
Megan,219149.0
Roger,218948.5
Cheryl,218473.0
Kathryn,218416.5
Taylor,218414.0
Rose,218214.0
Keith,217746.0
Julia,217050.5
Joe,216735.0
Austin,216326.5
Dylan,212608.0
Charlotte,212102.5
Jacqueline,211923.5
Sara,211821.5
Sean,211353.5
Jesse,210240.5
Madison,208879.0
Sophia,207988.0
Gloria,205989.5
Teresa,204280.5
Logan,204091.0
Alexis,203244.5
Abigail,202573.5
Janice,201445.0
Lillian,200619.5
Isabella,200259.0
Mildred,197618.5
Ralph,195288.5
Gabriel,195006.0
Theresa,194319.5
Bryan,192831.0
Billy,191532.0
Bruce,191141.5
Roy,189778.5
Judy,189406.0
Louis,188282.5
Beverly,188224.5
Natalie,186185.5
Amber,185611.5
Leslie,185274.5
Denise,185264.5
