PersonKey,A_RecordKey,B_RecordKey
1,,B-000000001
2,,B-000000003
2,A-000000001,B-000000002
3,A-000000002,B-000000004
4,A-000000003,B-000000005
5,A-000000004,B-000000006
6,A-000000005,B-000000007
7,A-000000006,B-000000008
8,A-000000007,B-000000009
9,A-000000008,B-000000010
10,A-000000009,B-000000011
11,A-000000010,
12,A-000000011,
12,A-000000012,
13,A-000000013,B-000000012
14,A-000000014,
15,,B-000000013
16,,B-000000014
17,,B-000000015
18,A-000000015,B-000000016
19,A-000000016,B-000000017
20,,B-000000018
21,A-000000017,B-000000019
22,A-000000018,B-000000020
23,A-000000019,B-000000021
24,,B-000000022
25,A-000000020,B-000000023
26,A-000000021,
27,A-000000022,B-000000024
28,A-000000023,B-000000025
29,,B-000000026
29,,B-000000027
30,A-000000024,B-000000028
31,A-000000025,B-000000029
32,A-000000026,B-000000030
33,A-000000027,B-000000031
34,A-000000028,B-000000032
35,A-000000029,B-000000033
36,,B-000000034
36,,B-000000035
37,A-000000030,B-000000036
38,A-000000031,B-000000037
39,A-000000032,B-000000038
40,A-000000033,B-000000039
40,A-000000034,
41,A-000000035,B-000000040
42,A-000000036,B-000000041
43,,B-000000042
44,A-000000037,B-000000043
45,A-000000038,
46,A-000000039,B-000000044
47,A-000000040,B-000000045
48,A-000000041,B-000000046
49,,B-000000047
50,,B-000000048
51,A-000000042,B-000000049
52,A-000000043,B-000000050
53,,B-000000051
54,A-000000044,B-000000052
55,A-000000045,
56,,B-000000053
57,,B-000000054
58,A-000000046,B-000000055
59,A-000000047,B-000000056
60,,B-000000057
61,A-000000048,B-000000058
62,A-000000049,B-000000059
63,,B-000000061
63,A-000000050,B-000000060
64,,B-000000062
65,,B-000000064
65,A-000000051,B-000000063
66,A-000000052,B-000000065
67,A-000000053,B-000000066
68,A-000000054,B-000000067
69,,B-000000069
69,A-000000055,B-000000068
70,A-000000056,B-000000070
71,,B-000000071
72,A-000000057,B-000000072
73,A-000000058,B-000000073
74,A-000000059,B-000000074
75,A-000000060,B-000000075
76,A-000000061,B-000000076
77,A-000000062,B-000000077
78,A-000000063,B-000000078
79,A-000000064,B-000000079
80,A-000000065,B-000000080
81,A-000000066,B-000000081
82,A-000000067,B-000000082
83,,B-000000083
84,A-000000068,
85,A-000000069,B-000000084
86,A-000000070,B-000000085
87,A-000000071,B-000000086
88,A-000000072,B-000000087
89,A-000000073,
90,,B-000000088
91,A-000000074,B-000000089
92,A-000000075,B-000000090
93,A-000000076,B-000000091
94,A-000000077,B-000000092
95,A-000000078,B-000000093
96,A-000000079,B-000000094
97,A-000000080,B-000000095
98,A-000000081,B-000000096
99,A-000000082,B-000000097
100,A-000000083,B-000000098
101,A-000000084,B-000000099
102,A-000000085,B-000000100
103,A-000000086,B-000000101
104,A-000000087,B-000000102
105,A-000000088,B-000000103
106,A-000000089,B-000000104
107,A-000000090,B-000000105
108,A-000000091,
109,,B-000000106
110,A-000000092,B-000000107
111,A-000000093,B-000000108
112,A-000000094,B-000000109
113,A-000000095,B-000000110
113,A-000000096,
114,,B-000000112
114,A-000000097,B-000000111
115,,B-000000113
116,A-000000098,B-000000114
117,A-000000099,B-000000115
118,A-000000100,B-000000116
119,A-000000101,B-000000117
120,A-000000102,B-000000118
121,A-000000103,B-000000119
122,A-000000104,B-000000120
123,A-000000105,B-000000121
124,A-000000106,B-000000122
125,A-000000107,B-000000123
126,A-000000108,B-000000124
127,A-000000109,B-000000125
128,A-000000110,B-000000126
129,A-000000111,B-000000127
130,A-000000112,
131,A-000000113,
132,,B-000000128
133,A-000000114,B-000000129
134,A-000000115,B-000000130
135,A-000000116,B-000000131
136,A-000000117,B-000000132
137,,B-000000134
137,A-000000118,B-000000133
138,A-000000119,B-000000135
139,A-000000120,B-000000136
139,A-000000121,
140,A-000000122,B-000000137
141,A-000000123,B-000000138
142,A-000000124,
143,A-000000125,B-000000139
144,A-000000126,
144,A-000000127,
145,A-000000128,B-000000140
146,,B-000000141
147,A-000000129,B-000000142
148,,B-000000143
149,,B-000000144
150,,B-000000145
151,A-000000130,B-000000146
152,A-000000131,B-000000147
153,A-000000132,B-000000148
154,A-000000133,B-000000149
155,A-000000134,
155,A-000000135,
156,A-000000136,B-000000150
157,A-000000137,B-000000151
158,A-000000138,B-000000152
159,A-000000139,B-000000153
160,A-000000140,B-000000154
161,,B-000000155
162,,B-000000156
163,A-000000141,B-000000157
164,A-000000142,B-000000158
165,A-000000143,
166,A-000000144,B-000000159
167,A-000000145,B-000000160
167,A-000000146,
168,,B-000000162
168,,B-000000163
168,A-000000147,B-000000161
169,,B-000000164
169,,B-000000165
170,A-000000148,B-000000166
171,A-000000149,B-000000167
172,A-000000150,B-000000168
173,A-000000151,B-000000169
174,A-000000152,B-000000170
175,A-000000153,B-000000171
176,A-000000154,B-000000172
177,A-000000155,B-000000173
178,A-000000156,B-000000174
179,A-000000157,B-000000175
180,A-000000158,B-000000176
181,A-000000159,B-000000177
182,A-000000160,B-000000178
183,A-000000161,
184,,B-000000179
185,A-000000162,B-000000180
186,A-000000163,B-000000181
187,A-000000164,
188,A-000000165,B-000000182
189,,B-000000183
190,A-000000166,B-000000184
191,A-000000167,B-000000185
192,A-000000168,B-000000186
193,A-000000169,B-000000187
194,A-000000170,B-000000188
195,A-000000171,B-000000189
