PersonKey,A_RecordKey,B_RecordKey
1,A-000000001,B-000000001
1,A-000000001,B-000000002
2,A-000000002,B-000000003
2,A-000000002,B-000000004
3,,B-000000005
4,A-000000003,
5,A-000000004,B-000000006
5,A-000000004,B-000000007
6,,B-000000008
7,A-000000005,B-000000009
7,A-000000005,B-000000010
8,A-000000006,B-000000011
8,A-000000006,B-000000012
9,A-000000007,B-000000013
9,A-000000007,B-000000014
10,A-000000008,B-000000015
10,A-000000008,B-000000016
11,A-000000009,B-000000017
11,A-000000009,B-000000018
12,A-000000010,B-000000019
12,A-000000010,B-000000020
13,A-000000011,B-000000021
13,A-000000011,B-000000022
14,,B-000000023
15,A-000000012,B-000000024
15,A-000000012,B-000000025
16,,B-000000026
17,A-000000013,B-000000027
17,A-000000013,B-000000028
18,A-000000014,B-000000029
18,A-000000014,B-000000030
19,A-000000015,B-000000031
19,A-000000015,B-000000032
20,A-000000016,B-000000033
20,A-000000016,B-000000034
21,A-000000017,
22,A-000000018,B-000000035
22,A-000000018,B-000000036
23,A-000000019,B-000000037
23,A-000000019,B-000000038
24,,B-000000039
25,A-000000020,B-000000040
25,A-000000020,B-000000041
26,A-000000021,B-000000042
26,A-000000021,B-000000043
27,A-000000022,B-000000044
27,A-000000022,B-000000045
28,A-000000023,B-000000046
28,A-000000023,B-000000047
29,A-000000024,B-000000048
29,A-000000024,B-000000049
30,A-000000025,B-000000050
30,A-000000025,B-000000051
30,A-000000026,
31,A-000000027,B-000000052
31,A-000000027,B-000000053
32,A-000000028,B-000000054
32,A-000000028,B-000000055
33,,B-000000056
34,A-000000029,B-000000057
34,A-000000029,B-000000058
35,A-000000030,B-000000059
35,A-000000030,B-000000060
36,A-000000031,B-000000061
36,A-000000031,B-000000062
37,A-000000032,B-000000063
37,A-000000032,B-000000064
38,A-000000033,B-000000065
38,A-000000033,B-000000066
39,A-000000034,
40,A-000000035,B-000000067
40,A-000000035,B-000000068
41,A-000000036,B-000000069
41,A-000000036,B-000000070
42,A-000000037,B-000000071
42,A-000000037,B-000000072
43,A-000000038,B-000000073
43,A-000000038,B-000000074
44,A-000000039,
45,A-000000040,B-000000075
45,A-000000040,B-000000076
46,A-000000041,B-000000077
46,A-000000041,B-000000078
47,A-000000042,B-000000079
47,A-000000042,B-000000080
48,A-000000043,B-000000081
48,A-000000043,B-000000082
49,A-000000044,B-000000083
49,A-000000044,B-000000084
50,,B-000000085
51,,B-000000086
52,A-000000045,B-000000087
52,A-000000045,B-000000088
53,A-000000046,B-000000089
53,A-000000046,B-000000090
54,,B-000000091
55,A-000000047,B-000000092
55,A-000000047,B-000000093
56,A-000000048,B-000000094
56,A-000000048,B-000000095
57,A-000000049,B-000000096
57,A-000000049,B-000000097
58,A-000000050,B-000000098
58,A-000000050,B-000000099
59,A-000000051,B-000000100
59,A-000000051,B-000000101
60,A-000000052,
61,A-000000053,B-000000102
61,A-000000053,B-000000103
62,A-000000054,B-000000104
62,A-000000054,B-000000105
63,A-000000055,B-000000106
63,A-000000055,B-000000107
64,A-000000056,B-000000108
64,A-000000056,B-000000109
65,A-000000057,B-000000110
65,A-000000057,B-000000111
66,A-000000058,B-000000112
66,A-000000058,B-000000113
67,A-000000059,B-000000114
67,A-000000059,B-000000115
68,A-000000060,B-000000116
68,A-000000060,B-000000117
69,,B-000000118
70,A-000000061,B-000000119
70,A-000000061,B-000000120
71,A-000000062,B-000000121
71,A-000000062,B-000000122
72,,B-000000123
73,A-000000063,
74,A-000000064,B-000000124
74,A-000000064,B-000000125
75,A-000000065,B-000000126
75,A-000000065,B-000000127
76,A-000000066,B-000000128
76,A-000000066,B-000000129
77,,B-000000130
78,,B-000000131
79,,B-000000132
80,A-000000067,B-000000133
80,A-000000067,B-000000134
81,A-000000068,B-000000135
81,A-000000068,B-000000136
82,A-000000069,B-000000137
82,A-000000069,B-000000138
83,A-000000070,B-000000139
83,A-000000070,B-000000140
84,A-000000071,
85,,B-000000141
86,A-000000072,B-000000142
86,A-000000072,B-000000143
87,A-000000073,B-000000144
87,A-000000073,B-000000145
88,A-000000074,B-000000146
88,A-000000074,B-000000147
89,A-000000075,
90,A-000000076,B-000000148
90,A-000000076,B-000000149
91,,B-000000150
92,A-000000077,B-000000151
92,A-000000077,B-000000152
93,A-000000078,B-000000153
93,A-000000078,B-000000154
93,A-000000079,
94,A-000000080,
95,,B-000000155
96,A-000000081,B-000000156
96,A-000000081,B-000000157
97,A-000000082,B-000000158
97,A-000000082,B-000000159
98,A-000000083,B-000000160
98,A-000000083,B-000000161
99,A-000000084,B-000000162
99,A-000000084,B-000000163
100,A-000000085,
101,A-000000086,B-000000164
101,A-000000086,B-000000165
102,A-000000087,B-000000166
102,A-000000087,B-000000167
103,A-000000088,B-000000168
103,A-000000088,B-000000169
104,A-000000089,B-000000170
104,A-000000089,B-000000171
105,,B-000000172
106,A-000000090,B-000000173
106,A-000000090,B-000000174
107,A-000000091,B-000000175
107,A-000000091,B-000000176
108,A-000000092,B-000000177
108,A-000000092,B-000000178
108,A-000000093,
109,A-000000094,
110,A-000000095,
111,A-000000096,B-000000179
111,A-000000096,B-000000180
112,A-000000097,B-000000181
112,A-000000097,B-000000182
113,A-000000098,B-000000183
113,A-000000098,B-000000184
114,,B-000000185
115,A-000000099,B-000000186
115,A-000000099,B-000000187
116,A-000000100,B-000000188
116,A-000000100,B-000000189
117,A-000000101,
118,,B-000000190
119,,B-000000191
120,A-000000102,B-000000192
120,A-000000102,B-000000193
121,A-000000103,B-000000194
121,A-000000103,B-000000195
122,A-000000104,
123,A-000000105,
124,A-000000106,B-000000196
124,A-000000106,B-000000197
125,A-000000107,B-000000198
125,A-000000107,B-000000199
126,A-000000108,B-000000200
126,A-000000108,B-000000201
127,A-000000109,B-000000202
127,A-000000109,B-000000203
128,A-000000110,B-000000204
128,A-000000110,B-000000205
129,A-000000111,
130,A-000000112,B-000000206
130,A-000000112,B-000000207
131,A-000000113,
132,A-000000114,B-000000208
132,A-000000114,B-000000209
133,A-000000115,B-000000210
133,A-000000115,B-000000211
134,A-000000116,B-000000212
134,A-000000116,B-000000213
135,,B-000000214
136,A-000000117,B-000000215
136,A-000000117,B-000000216
137,A-000000118,B-000000217
137,A-000000118,B-000000218
138,,B-000000219
139,A-000000119,
140,A-000000120,B-000000220
140,A-000000120,B-000000221
141,A-000000121,B-000000222
141,A-000000121,B-000000223
142,A-000000122,B-000000224
142,A-000000122,B-000000225
143,A-000000123,B-000000226
143,A-000000123,B-000000227
144,,B-000000228
145,A-000000124,B-000000229
145,A-000000124,B-000000230
146,,B-000000231
147,A-000000125,B-000000232
147,A-000000125,B-000000233
148,A-000000126,B-000000234
148,A-000000126,B-000000235
149,,B-000000236
150,,B-000000237
151,,B-000000238
152,,B-000000239
153,A-000000127,B-000000240
153,A-000000127,B-000000241
154,A-000000128,
155,,B-000000242
156,,B-000000243
157,A-000000129,B-000000244
157,A-000000129,B-000000245
158,A-000000130,B-000000246
158,A-000000130,B-000000247
159,A-000000131,B-000000248
159,A-000000131,B-000000249
160,A-000000132,B-000000250
160,A-000000132,B-000000251
161,,B-000000252
162,A-000000133,B-000000253
162,A-000000133,B-000000254
163,A-000000134,B-000000255
163,A-000000134,B-000000256
164,,B-000000257
165,,B-000000258
166,A-000000135,B-000000259
166,A-000000135,B-000000260
167,A-000000136,B-000000261
167,A-000000136,B-000000262
