PersonKey,A_RecordKey,B_RecordKey
1,A-000000001,B-000000001
1,A-000000002,B-000000001
2,A-000000003,B-000000002
2,A-000000004,B-000000002
3,A-000000005,B-000000003
3,A-000000006,B-000000003
4,A-000000007,B-000000004
4,A-000000008,B-000000004
5,A-000000009,B-000000005
5,A-000000010,B-000000005
6,A-000000011,B-000000006
6,A-000000012,B-000000006
7,A-000000013,B-000000007
7,A-000000014,B-000000007
8,A-000000015,B-000000008
8,A-000000016,B-000000008
9,A-000000017,B-000000009
9,A-000000018,B-000000009
10,,B-000000010
11,A-000000019,
12,A-000000020,B-000000011
12,A-000000021,B-000000011
13,A-000000022,B-000000012
13,A-000000023,B-000000012
14,A-000000024,B-000000013
14,A-000000025,B-000000013
15,A-000000026,B-000000014
15,A-000000027,B-000000014
16,A-000000028,B-000000015
16,A-000000029,B-000000015
17,A-000000030,B-000000016
17,A-000000031,B-000000016
18,A-000000032,B-000000017
18,A-000000033,B-000000017
19,A-000000034,
20,A-000000035,
21,A-000000036,B-000000018
21,A-000000037,B-000000018
22,A-000000038,B-000000019
22,A-000000039,B-000000019
23,A-000000040,B-000000020
23,A-000000041,B-000000020
24,A-000000042,B-000000021
24,A-000000043,B-000000021
25,A-000000044,B-000000022
25,A-000000045,B-000000022
26,A-000000046,B-000000023
26,A-000000047,B-000000023
27,A-000000048,B-000000024
27,A-000000049,B-000000024
28,,B-000000025
29,A-000000050,B-000000026
29,A-000000051,B-000000026
30,A-000000052,B-000000027
30,A-000000053,B-000000027
31,A-000000054,
32,A-000000055,B-000000028
32,A-000000056,B-000000028
33,A-000000057,B-000000029
33,A-000000058,B-000000029
34,A-000000059,B-000000030
34,A-000000060,B-000000030
35,,B-000000031
36,A-000000061,B-000000032
36,A-000000062,B-000000032
37,A-000000063,B-000000033
37,A-000000064,B-000000033
38,,B-000000034
39,A-000000065,B-000000035
39,A-000000066,B-000000035
40,A-000000067,B-000000036
40,A-000000068,B-000000036
41,A-000000069,B-000000037
41,A-000000070,B-000000037
42,A-000000071,B-000000038
42,A-000000072,B-000000038
43,A-000000073,
44,A-000000074,B-000000039
44,A-000000075,B-000000039
45,A-000000076,
46,A-000000077,
47,,B-000000040
48,A-000000078,B-000000041
48,A-000000079,B-000000041
49,A-000000080,B-000000042
49,A-000000081,B-000000042
50,A-000000082,B-000000043
50,A-000000083,B-000000043
51,A-000000084,B-000000044
51,A-000000085,B-000000044
52,A-000000086,B-000000045
52,A-000000087,B-000000045
53,A-000000088,
54,,B-000000046
55,A-000000089,B-000000047
55,A-000000090,B-000000047
56,A-000000091,
57,,B-000000048
58,A-000000092,
59,A-000000093,
60,A-000000094,B-000000049
60,A-000000095,B-000000049
61,A-000000096,B-000000050
61,A-000000097,B-000000050
62,A-000000098,B-000000051
62,A-000000099,B-000000051
63,A-000000100,
64,A-000000101,B-000000052
64,A-000000102,B-000000052
