PersonKey,A_RecordKey,B_RecordKey
1,,B-000000001
2,A-000000001,
3,A-000000002,B-000000002
3,A-000000002,B-000000003
3,A-000000003,B-000000002
3,A-000000003,B-000000003
4,A-000000004,B-000000004
4,A-000000004,B-000000005
4,A-000000005,B-000000004
4,A-000000005,B-000000005
5,,B-000000006
6,A-000000006,B-000000007
6,A-000000006,B-000000008
6,A-000000007,B-000000007
6,A-000000007,B-000000008
7,A-000000008,B-000000009
7,A-000000008,B-000000010
7,A-000000009,B-000000009
7,A-000000009,B-000000010
8,A-000000010,B-000000011
8,A-000000010,B-000000012
8,A-000000011,B-000000011
8,A-000000011,B-000000012
9,A-000000012,B-000000013
9,A-000000012,B-000000014
9,A-000000013,B-000000013
9,A-000000013,B-000000014
10,A-000000014,B-000000015
10,A-000000014,B-000000016
10,A-000000015,B-000000015
10,A-000000015,B-000000016
11,A-000000016,
12,A-000000017,B-000000017
12,A-000000017,B-000000018
12,A-000000018,B-000000017
12,A-000000018,B-000000018
13,,B-000000019
14,A-000000019,B-000000020
14,A-000000019,B-000000021
14,A-000000020,B-000000020
14,A-000000020,B-000000021
15,A-000000021,
16,A-000000022,B-000000022
16,A-000000022,B-000000023
16,A-000000023,B-000000022
16,A-000000023,B-000000023
17,A-000000024,
18,,B-000000024
19,A-000000025,B-000000025
19,A-000000025,B-000000026
19,A-000000026,B-000000025
19,A-000000026,B-000000026
20,A-000000027,B-000000027
20,A-000000027,B-000000028
20,A-000000028,B-000000027
20,A-000000028,B-000000028
21,A-000000029,B-000000029
21,A-000000029,B-000000030
21,A-000000030,B-000000029
21,A-000000030,B-000000030
22,A-000000031,
23,A-000000032,B-000000031
23,A-000000032,B-000000032
23,A-000000033,B-000000031
23,A-000000033,B-000000032
24,A-000000034,B-000000033
24,A-000000034,B-000000034
24,A-000000035,B-000000033
24,A-000000035,B-000000034
25,A-000000036,B-000000035
25,A-000000036,B-000000036
25,A-000000037,B-000000035
25,A-000000037,B-000000036
26,A-000000038,
27,A-000000039,B-000000037
27,A-000000039,B-000000038
27,A-000000040,B-000000037
27,A-000000040,B-000000038
28,A-000000041,B-000000039
28,A-000000041,B-000000040
28,A-000000042,B-000000039
28,A-000000042,B-000000040
29,A-000000043,B-000000041
29,A-000000043,B-000000042
29,A-000000044,B-000000041
29,A-000000044,B-000000042
30,A-000000045,B-000000043
30,A-000000045,B-000000044
30,A-000000046,B-000000043
30,A-000000046,B-000000044
31,A-000000047,B-000000045
31,A-000000047,B-000000046
31,A-000000048,B-000000045
31,A-000000048,B-000000046
32,A-000000049,B-000000047
32,A-000000049,B-000000048
32,A-000000050,B-000000047
32,A-000000050,B-000000048
33,A-000000051,B-000000049
33,A-000000051,B-000000050
33,A-000000052,B-000000049
33,A-000000052,B-000000050
34,A-000000053,B-000000051
34,A-000000053,B-000000052
34,A-000000054,B-000000051
34,A-000000054,B-000000052
35,A-000000055,B-000000053
35,A-000000055,B-000000054
35,A-000000056,B-000000053
35,A-000000056,B-000000054
36,A-000000057,B-000000055
36,A-000000057,B-000000056
36,A-000000058,B-000000055
36,A-000000058,B-000000056
37,A-000000059,B-000000057
37,A-000000059,B-000000058
37,A-000000060,B-000000057
37,A-000000060,B-000000058
38,A-000000061,B-000000059
38,A-000000061,B-000000060
38,A-000000062,B-000000059
38,A-000000062,B-000000060
39,A-000000063,
40,A-000000064,B-000000061
40,A-000000064,B-000000062
40,A-000000065,B-000000061
40,A-000000065,B-000000062
41,A-000000066,B-000000063
41,A-000000066,B-000000064
41,A-000000067,B-000000063
41,A-000000067,B-000000064
42,A-000000068,B-000000065
42,A-000000068,B-000000066
42,A-000000069,B-000000065
42,A-000000069,B-000000066
43,A-000000070,
44,A-000000071,B-000000067
44,A-000000071,B-000000068
44,A-000000072,B-000000067
44,A-000000072,B-000000068
45,A-000000073,B-000000069
45,A-000000073,B-000000070
45,A-000000074,B-000000069
45,A-000000074,B-000000070
46,A-000000075,B-000000071
46,A-000000075,B-000000072
46,A-000000076,B-000000071
46,A-000000076,B-000000072
47,A-000000077,B-000000073
47,A-000000077,B-000000074
47,A-000000078,B-000000073
47,A-000000078,B-000000074
48,A-000000079,B-000000075
48,A-000000079,B-000000076
48,A-000000080,B-000000075
48,A-000000080,B-000000076
49,A-000000081,
50,A-000000082,
51,,B-000000077
52,,B-000000078
53,A-000000083,
54,,B-000000079
55,A-000000084,
56,A-000000085,B-000000080
56,A-000000085,B-000000081
56,A-000000086,B-000000080
56,A-000000086,B-000000081
57,A-000000087,B-000000082
57,A-000000087,B-000000083
57,A-000000088,B-000000082
57,A-000000088,B-000000083
58,,B-000000084
59,,B-000000085
60,A-000000089,B-000000086
60,A-000000089,B-000000087
60,A-000000090,B-000000086
60,A-000000090,B-000000087
61,,B-000000088
62,A-000000091,B-000000089
62,A-000000091,B-000000090
62,A-000000092,B-000000089
62,A-000000092,B-000000090
63,A-000000093,B-000000091
63,A-000000093,B-000000092
63,A-000000094,B-000000091
63,A-000000094,B-000000092
64,A-000000095,B-000000093
64,A-000000095,B-000000094
64,A-000000096,B-000000093
64,A-000000096,B-000000094
65,A-000000097,B-000000095
65,A-000000097,B-000000096
65,A-000000098,B-000000095
65,A-000000098,B-000000096
66,A-000000099,B-000000097
66,A-000000099,B-000000098
66,A-000000100,B-000000097
66,A-000000100,B-000000098
67,A-000000101,B-000000099
67,A-000000101,B-000000100
67,A-000000102,B-000000099
67,A-000000102,B-000000100
68,A-000000103,B-000000101
68,A-000000103,B-000000102
68,A-000000104,B-000000101
68,A-000000104,B-000000102
69,A-000000105,B-000000103
69,A-000000105,B-000000104
69,A-000000106,B-000000103
69,A-000000106,B-000000104
70,A-000000107,B-000000105
70,A-000000107,B-000000106
70,A-000000108,B-000000105
70,A-000000108,B-000000106
71,A-000000109,B-000000107
71,A-000000109,B-000000108
71,A-000000110,B-000000107
71,A-000000110,B-000000108
72,A-000000111,B-000000109
72,A-000000111,B-000000110
72,A-000000112,B-000000109
72,A-000000112,B-000000110
73,A-000000113,B-000000111
73,A-000000113,B-000000112
73,A-000000114,B-000000111
73,A-000000114,B-000000112
74,A-000000115,B-000000113
74,A-000000115,B-000000114
74,A-000000116,B-000000113
74,A-000000116,B-000000114
75,A-000000117,
76,A-000000118,B-000000115
76,A-000000118,B-000000116
76,A-000000119,B-000000115
76,A-000000119,B-000000116
77,A-000000120,B-000000117
77,A-000000120,B-000000118
77,A-000000121,B-000000117
77,A-000000121,B-000000118
78,A-000000122,B-000000119
78,A-000000122,B-000000120
78,A-000000123,B-000000119
78,A-000000123,B-000000120
79,A-000000124,B-000000121
79,A-000000124,B-000000122
79,A-000000125,B-000000121
79,A-000000125,B-000000122
80,,B-000000123
81,A-000000126,B-000000124
81,A-000000126,B-000000125
81,A-000000127,B-000000124
81,A-000000127,B-000000125
82,A-000000128,B-000000126
82,A-000000128,B-000000127
82,A-000000129,B-000000126
82,A-000000129,B-000000127
83,A-000000130,B-000000128
83,A-000000130,B-000000129
83,A-000000131,B-000000128
83,A-000000131,B-000000129
84,A-000000132,B-000000130
84,A-000000132,B-000000131
84,A-000000133,B-000000130
84,A-000000133,B-000000131
85,A-000000134,B-000000132
85,A-000000134,B-000000133
85,A-000000135,B-000000132
85,A-000000135,B-000000133
86,,B-000000134
87,A-000000136,B-000000135
87,A-000000136,B-000000136
87,A-000000137,B-000000135
87,A-000000137,B-000000136
88,A-000000138,B-000000137
88,A-000000138,B-000000138
88,A-000000139,B-000000137
88,A-000000139,B-000000138
89,,B-000000139
90,A-000000140,B-000000140
90,A-000000140,B-000000141
90,A-000000141,B-000000140
90,A-000000141,B-000000141
91,A-000000142,B-000000142
91,A-000000142,B-000000143
91,A-000000143,B-000000142
91,A-000000143,B-000000143
92,A-000000144,
93,A-000000145,B-000000144
93,A-000000145,B-000000145
93,A-000000146,B-000000144
93,A-000000146,B-000000145
94,A-000000147,B-000000146
94,A-000000147,B-000000147
94,A-000000148,B-000000146
94,A-000000148,B-000000147
95,A-000000149,B-000000148
95,A-000000149,B-000000149
95,A-000000150,B-000000148
95,A-000000150,B-000000149
96,A-000000151,B-000000150
96,A-000000151,B-000000151
96,A-000000152,B-000000150
96,A-000000152,B-000000151
97,,B-000000152
98,A-000000153,B-000000153
98,A-000000153,B-000000154
98,A-000000154,B-000000153
98,A-000000154,B-000000154
99,A-000000155,B-000000155
99,A-000000155,B-000000156
99,A-000000156,B-000000155
99,A-000000156,B-000000156
100,A-000000157,B-000000157
100,A-000000157,B-000000158
100,A-000000158,B-000000157
100,A-000000158,B-000000158
101,A-000000159,B-000000159
101,A-000000159,B-000000160
101,A-000000160,B-000000159
101,A-000000160,B-000000160
102,A-000000161,B-000000161
102,A-000000161,B-000000162
102,A-000000162,B-000000161
102,A-000000162,B-000000162
103,,B-000000163
104,A-000000163,B-000000164
104,A-000000163,B-000000165
104,A-000000164,B-000000164
104,A-000000164,B-000000165
105,A-000000165,B-000000166
105,A-000000165,B-000000167
105,A-000000166,B-000000166
105,A-000000166,B-000000167
106,A-000000167,B-000000168
106,A-000000167,B-000000169
106,A-000000168,B-000000168
106,A-000000168,B-000000169
107,,B-000000170
108,A-000000169,B-000000171
108,A-000000169,B-000000172
108,A-000000170,B-000000171
108,A-000000170,B-000000172
109,,B-000000173
110,A-000000171,B-000000174
110,A-000000171,B-000000175
110,A-000000172,B-000000174
110,A-000000172,B-000000175
111,A-000000173,B-000000176
111,A-000000173,B-000000177
111,A-000000174,B-000000176
111,A-000000174,B-000000177
112,A-000000175,B-000000178
112,A-000000175,B-000000179
112,A-000000176,B-000000178
112,A-000000176,B-000000179
113,A-000000177,B-000000180
113,A-000000177,B-000000181
113,A-000000178,B-000000180
113,A-000000178,B-000000181
114,A-000000179,B-000000182
114,A-000000179,B-000000183
114,A-000000180,B-000000182
114,A-000000180,B-000000183
115,A-000000181,B-000000184
115,A-000000181,B-000000185
115,A-000000182,B-000000184
115,A-000000182,B-000000185
116,A-000000183,B-000000186
116,A-000000183,B-000000187
116,A-000000184,B-000000186
116,A-000000184,B-000000187
117,A-000000185,B-000000188
117,A-000000185,B-000000189
117,A-000000186,B-000000188
117,A-000000186,B-000000189
118,A-000000187,B-000000190
118,A-000000187,B-000000191
118,A-000000188,B-000000190
118,A-000000188,B-000000191
119,A-000000189,B-000000192
119,A-000000189,B-000000193
119,A-000000190,B-000000192
119,A-000000190,B-000000193
120,A-000000191,B-000000194
120,A-000000191,B-000000195
120,A-000000192,B-000000194
120,A-000000192,B-000000195
121,A-000000193,B-000000196
121,A-000000193,B-000000197
121,A-000000194,B-000000196
121,A-000000194,B-000000197
122,A-000000195,B-000000198
122,A-000000195,B-000000199
122,A-000000196,B-000000198
122,A-000000196,B-000000199
123,A-000000197,B-000000200
123,A-000000197,B-000000201
123,A-000000198,B-000000200
123,A-000000198,B-000000201
124,A-000000199,
125,A-000000200,B-000000202
125,A-000000200,B-000000203
125,A-000000201,B-000000202
125,A-000000201,B-000000203
126,A-000000202,B-000000204
126,A-000000202,B-000000205
126,A-000000203,B-000000204
126,A-000000203,B-000000205
127,A-000000204,B-000000206
127,A-000000204,B-000000207
127,A-000000205,B-000000206
127,A-000000205,B-000000207
128,A-000000206,B-000000208
128,A-000000206,B-000000209
128,A-000000207,B-000000208
128,A-000000207,B-000000209
129,,B-000000210
130,,B-000000211
131,A-000000208,
132,A-000000209,B-000000212
132,A-000000209,B-000000213
132,A-000000210,B-000000212
132,A-000000210,B-000000213
133,A-000000211,B-000000214
133,A-000000211,B-000000215
133,A-000000212,B-000000214
133,A-000000212,B-000000215
134,A-000000213,B-000000216
134,A-000000213,B-000000217
134,A-000000214,B-000000216
134,A-000000214,B-000000217
135,,B-000000218
136,A-000000215,B-000000219
136,A-000000215,B-000000220
136,A-000000216,B-000000219
136,A-000000216,B-000000220
137,A-000000217,B-000000221
137,A-000000217,B-000000222
137,A-000000218,B-000000221
137,A-000000218,B-000000222
138,,B-000000223
139,A-000000219,B-000000224
139,A-000000219,B-000000225
139,A-000000220,B-000000224
139,A-000000220,B-000000225
140,A-000000221,B-000000226
140,A-000000221,B-000000227
140,A-000000222,B-000000226
140,A-000000222,B-000000227
141,A-000000223,B-000000228
141,A-000000223,B-000000229
141,A-000000224,B-000000228
141,A-000000224,B-000000229
142,A-000000225,B-000000230
142,A-000000225,B-000000231
142,A-000000226,B-000000230
142,A-000000226,B-000000231
143,A-000000227,B-000000232
143,A-000000227,B-000000233
143,A-000000228,B-000000232
143,A-000000228,B-000000233
144,A-000000229,B-000000234
144,A-000000229,B-000000235
144,A-000000230,B-000000234
144,A-000000230,B-000000235
145,A-000000231,B-000000236
145,A-000000231,B-000000237
145,A-000000232,B-000000236
145,A-000000232,B-000000237
146,,B-000000238
147,A-000000233,B-000000239
147,A-000000233,B-000000240
147,A-000000234,B-000000239
147,A-000000234,B-000000240
148,,B-000000241
149,A-000000235,B-000000242
149,A-000000235,B-000000243
149,A-000000236,B-000000242
149,A-000000236,B-000000243
150,A-000000237,B-000000244
150,A-000000237,B-000000245
150,A-000000238,B-000000244
150,A-000000238,B-000000245
151,A-000000239,B-000000246
151,A-000000239,B-000000247
151,A-000000240,B-000000246
151,A-000000240,B-000000247
152,A-000000241,B-000000248
152,A-000000241,B-000000249
152,A-000000242,B-000000248
152,A-000000242,B-000000249
153,A-000000243,B-000000250
153,A-000000243,B-000000251
153,A-000000244,B-000000250
153,A-000000244,B-000000251
154,,B-000000252
155,A-000000245,B-000000253
155,A-000000245,B-000000254
155,A-000000246,B-000000253
155,A-000000246,B-000000254
156,A-000000247,B-000000255
156,A-000000247,B-000000256
156,A-000000248,B-000000255
156,A-000000248,B-000000256
157,A-000000249,B-000000257
157,A-000000249,B-000000258
157,A-000000250,B-000000257
157,A-000000250,B-000000258
158,A-000000251,B-000000259
158,A-000000251,B-000000260
158,A-000000252,B-000000259
158,A-000000252,B-000000260
159,,B-000000261
160,A-000000253,B-000000262
160,A-000000253,B-000000263
160,A-000000254,B-000000262
160,A-000000254,B-000000263
161,A-000000255,B-000000264
161,A-000000255,B-000000265
161,A-000000256,B-000000264
161,A-000000256,B-000000265
162,A-000000257,B-000000266
162,A-000000257,B-000000267
162,A-000000258,B-000000266
162,A-000000258,B-000000267
163,A-000000259,B-000000268
163,A-000000259,B-000000269
163,A-000000260,B-000000268
163,A-000000260,B-000000269
164,A-000000261,B-000000270
164,A-000000261,B-000000271
164,A-000000262,B-000000270
164,A-000000262,B-000000271
165,A-000000263,B-000000272
165,A-000000263,B-000000273
165,A-000000264,B-000000272
165,A-000000264,B-000000273
166,A-000000265,B-000000274
166,A-000000265,B-000000275
166,A-000000266,B-000000274
166,A-000000266,B-000000275
167,A-000000267,B-000000276
