PersonKey,A_RecordKey,B_RecordKey
1,A-000000001,
2,,B-000000001
3,,B-000000002
4,A-000000002,B-000000003
4,A-000000002,B-000000004
5,A-000000003,B-000000005
5,A-000000003,B-000000006
6,,B-000000007
7,,B-000000008
8,A-000000004,B-000000009
8,A-000000004,B-000000010
9,,B-000000011
10,A-000000005,
11,,B-000000012
12,,B-000000013
13,,B-000000014
14,A-000000006,B-000000015
14,A-000000006,B-000000016
15,A-000000007,B-000000017
15,A-000000007,B-000000018
16,A-000000008,B-000000019
16,A-000000008,B-000000020
17,A-000000009,B-000000021
17,A-000000009,B-000000022
18,A-000000010,B-000000023
18,A-000000010,B-000000024
19,A-000000011,B-000000025
19,A-000000011,B-000000026
19,A-000000012,
20,A-000000013,B-000000027
20,A-000000013,B-000000028
21,A-000000014,
21,A-000000015,
22,A-000000016,B-000000029
22,A-000000016,B-000000030
23,A-000000017,B-000000031
23,A-000000017,B-000000032
23,A-000000018,
24,,B-000000033
25,A-000000019,B-000000034
25,A-000000019,B-000000035
26,,B-000000036
27,A-000000020,B-000000037
27,A-000000020,B-000000038
28,A-000000021,B-000000039
28,A-000000021,B-000000040
29,A-000000022,B-000000041
29,A-000000022,B-000000042
30,A-000000023,B-000000043
30,A-000000023,B-000000044
31,,B-000000045
32,A-000000024,
33,A-000000025,B-000000046
33,A-000000025,B-000000047
34,A-000000026,B-000000048
34,A-000000026,B-000000049
35,A-000000027,B-000000050
35,A-000000027,B-000000051
36,A-000000028,B-000000052
36,A-000000028,B-000000053
37,,B-000000054
38,A-000000029,B-000000055
38,A-000000029,B-000000056
39,A-000000030,B-000000057
39,A-000000030,B-000000058
40,A-000000031,
41,A-000000032,B-000000059
41,A-000000032,B-000000060
42,A-000000033,B-000000061
42,A-000000033,B-000000062
43,A-000000034,B-000000063
43,A-000000034,B-000000064
44,A-000000035,B-000000065
44,A-000000035,B-000000066
45,A-000000036,B-000000067
45,A-000000036,B-000000068
45,A-000000037,
46,A-000000038,B-000000069
46,A-000000038,B-000000070
47,,B-000000071
48,A-000000039,B-000000072
48,A-000000039,B-000000073
49,A-000000040,B-000000074
49,A-000000040,B-000000075
50,A-000000041,B-000000076
50,A-000000041,B-000000077
51,A-000000042,B-000000078
51,A-000000042,B-000000079
51,A-000000043,
52,,B-000000080
53,A-000000044,B-000000081
53,A-000000044,B-000000082
54,,B-000000083
55,A-000000045,B-000000084
55,A-000000045,B-000000085
56,,B-000000086
57,A-000000046,B-000000087
57,A-000000046,B-000000088
58,A-000000047,B-000000089
58,A-000000047,B-000000090
59,A-000000048,B-000000091
59,A-000000048,B-000000092
60,A-000000049,B-000000093
60,A-000000049,B-000000094
61,A-000000050,B-000000095
61,A-000000050,B-000000096
62,A-000000051,B-000000097
62,A-000000051,B-000000098
63,,B-000000099
64,A-000000052,B-000000100
64,A-000000052,B-000000101
65,,B-000000102
66,A-000000053,
67,A-000000054,B-000000103
67,A-000000054,B-000000104
68,A-000000055,
69,A-000000056,B-000000105
69,A-000000056,B-000000106
70,A-000000057,B-000000107
70,A-000000057,B-000000108
71,A-000000058,B-000000109
71,A-000000058,B-000000110
72,A-000000059,B-000000111
72,A-000000059,B-000000112
73,,B-000000113
74,A-000000060,B-000000114
74,A-000000060,B-000000115
75,A-000000061,B-000000116
75,A-000000061,B-000000117
76,A-000000062,B-000000118
76,A-000000062,B-000000119
77,A-000000063,B-000000120
77,A-000000063,B-000000121
78,,B-000000122
79,A-000000064,B-000000123
79,A-000000064,B-000000124
80,A-000000065,
81,A-000000066,B-000000125
81,A-000000066,B-000000126
82,A-000000067,B-000000127
82,A-000000067,B-000000128
83,A-000000068,B-000000129
83,A-000000068,B-000000130
84,A-000000069,B-000000131
84,A-000000069,B-000000132
85,,B-000000133
86,A-000000070,B-000000134
86,A-000000070,B-000000135
87,A-000000071,
88,A-000000072,B-000000136
88,A-000000072,B-000000137
89,A-000000073,B-000000138
89,A-000000073,B-000000139
90,A-000000074,B-000000140
90,A-000000074,B-000000141
90,A-000000075,
91,A-000000076,B-000000142
91,A-000000076,B-000000143
92,,B-000000144
93,A-000000077,B-000000145
93,A-000000077,B-000000146
93,A-000000078,
94,A-000000079,
95,A-000000080,B-000000147
95,A-000000080,B-000000148
96,A-000000081,B-000000149
96,A-000000081,B-000000150
